"latitude" "longitude"
45.4 141.6833
38.8733 -77.0217
-41.2833 174.7833
58.44097 -3.08631
46.7083 -123.965
40.7933 -73.7817
34.2267 -77.9533
54.7967 18.4186
41.5233 -70.6717
24.45 118.0667
59.5483 -139.735
9.5083 138.1283
43.8333 -66.1167
35.4667 139.6333
-0.4367 -90.2850
23.8683 -166.2883
22.3000 114.2167
-9.4217 159.9550
7.1083 171.3717
19.0500 -104.3333
-0.5317 166.9100
6.9783 158.1967
-20.1550 57.4950
-21.2067 -159.7750
28.6833 -17.7500
32.7142 -117.1736
-18.1317 178.4267
1.3633 172.9300
