"V1","V2","V3","V4"
1981,3.9,2.53127688172043,2.56
1982,3.87,2.40294642857143,2.44
1983,3.89,2.47260752688172,2.545
1984,3.76,2.50344444444444,2.57
1985,4.04,2.65311827956989,2.7
1986,4.06,2.77623611111111,2.8
1987,4.08,2.7555376344086,2.8
1988,4.11,2.77268817204301,2.845
1989,4.21,2.78826388888889,2.86
1990,4,2.7001747311828,2.77
1991,3.99,2.703875,2.76
1992,3.88,2.52975510204082,2.58
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,3.92,2.47819892473118,2.51
2006,3.9,2.47995535714286,2.55
2007,4.08,2.47248655913979,2.555
2008,3.96,2.53272222222222,2.615
2009,4.03,2.6210752688172,2.66
2010,4.03,2.80301388888889,2.84
2011,4,2.84817204301075,2.88
2012,4.11,2.83719086021505,2.92
2013,4.22,2.90177777777778,2.96
2014,4.37,2.82139784946237,2.88
2015,4.16,2.66336111111111,2.72
2016,3.94,2.58560483870968,2.63
2017,3.78,2.52834677419355,2.58
2018,3.82,2.42859195402299,2.485
2019,3.89,2.44791666666667,2.515
2020,3.84,2.46470833333333,2.53
2021,3.92,2.54225806451613,2.6
2022,3.91,2.58348611111111,2.64
2023,4.06,2.73584677419355,2.78
2024,4.18,2.86057795698925,2.925
2025,4.13,2.83398611111111,2.92
2026,4.14,2.70983870967742,2.76
2027,4.02,2.61755555555556,2.66
2028,3.98,2.60334677419355,2.655
2029,3.87,2.52510752688172,2.6
2030,3.89,2.49458333333333,2.55
2031,3.83,2.51459677419355,2.61
2032,3.96,2.57179166666667,2.63
2033,4,2.75309139784946,2.8
2034,4.01,2.72977777777778,2.79
2035,4.21,2.77302419354839,2.825
2036,4.08,2.83717741935484,2.925
2037,4.11,2.79979166666667,2.87
2038,4.02,2.73684139784946,2.82
2039,3.94,2.65306293706294,2.73
2040,3.85,2.52814516129032,2.575
2041,3.82,2.50521505376344,2.55
2042,3.92,2.46980654761905,2.54
2043,3.92,2.44073924731183,2.54
2044,NA,NA,NA
2045,3.86,2.63689608636977,2.68
2046,3.93,2.67961111111111,2.735
2047,NA,NA,NA
2048,4.19,2.84541778975741,2.94
2049,4.2,2.81836111111111,2.9
2050,4.19,2.7965188172043,2.87
2051,3.95,2.68513353115727,2.735
2052,3.84,2.55220430107527,2.595
2053,3.93,2.55439516129032,2.62
2054,4.08,2.48513392857143,2.55
2055,3.99,2.47400537634409,2.54
2056,3.94,2.51226388888889,2.56
2057,3.88,2.59814516129032,2.64
2058,3.82,2.70504166666667,2.745
2059,3.93,2.78768817204301,2.85
2060,4.15,2.91436827956989,3.01
2061,4.35,2.94378900445765,3
2062,NA,NA,NA
2063,4.07,2.5994297635605,2.64
2064,3.85,2.4635752688172,2.5
2065,3.91,2.53986033519553,2.62
2066,4.03,2.5755316091954,2.655
2067,4,2.51166666666667,2.585
2068,4.08,2.54827777777778,2.6
2069,4.11,2.61190860215054,2.66
2070,4.03,2.71152777777778,2.755
2071,4.18,2.8964247311828,2.97
2072,4.26,2.92752688172043,2.99
2073,NA,NA,NA
2074,NA,NA,NA
2075,4.06,2.68492286115007,2.71
2076,3.94,2.58751344086021,2.62
2077,3.93,2.53822580645161,2.57
2078,3.94,2.53714285714286,2.59
2079,3.72,2.49168010752688,2.55
2080,3.91,2.64070833333333,2.7
2081,4.08,2.67211021505376,2.7
2082,4.02,2.73508333333333,2.78
2083,4.22,2.80529569892473,2.86
2084,4.1,2.81643817204301,2.86
2085,4.07,2.78225,2.845
2086,NA,NA,NA
2087,3.98,2.66185294117647,2.7
2088,3.94,2.53680107526882,2.59
2089,3.95,2.5657123655914,2.6
2090,4.04,2.53907738095238,2.59
2091,NA,NA,NA
2092,3.95,2.54160839160839,2.59
2093,3.96,2.62146505376344,2.645
2094,4.14,2.75693055555556,2.8
2095,4.07,2.8206139154161,2.87
2096,4.33,2.86569892473118,2.915
2097,4.14,2.80216666666667,2.84
2098,4.06,2.75808391608392,2.79
2099,3.84,2.61743055555556,2.66
2100,3.92,2.55020161290323,2.6
2101,3.97,2.55616935483871,2.6
2102,4.06,2.55453869047619,2.6
2103,3.96,2.53317204301075,2.6
2104,4.01,2.53405555555556,2.56
2105,3.82,2.60655913978495,2.64
2106,3.89,2.72184722222222,2.735
2107,4.06,2.75770161290323,2.81
2108,4.21,2.93200268817204,2.99
2109,4.4,2.92123611111111,2.94
2110,4.32,2.7873252688172,2.81
2111,4.06,2.70482065997131,2.74
2112,3.96,2.52129032258065,2.55
2113,3.8,2.44500680272109,2.47
2114,4.02,2.54725574712644,2.57
2115,4.17,2.50858870967742,2.54
2116,4.12,2.62208333333333,2.66
2117,3.92,2.6382123655914,2.67
2118,3.9,2.68514925373134,2.74
2119,4.12,2.80596774193548,2.83
2120,NA,NA,NA
2121,4.21,2.86663888888889,2.905
2122,NA,NA,NA
2123,4.05,2.60130555555556,2.625
2124,NA,NA,NA
2125,3.77,2.42174731182796,2.455
2126,3.64,2.39614583333333,2.47
2127,3.71,2.44729838709677,2.49
2128,3.93,2.498125,2.53
2129,3.95,2.56997311827957,2.615
2130,4.14,2.77370833333333,2.8
2131,NA,NA,NA
2132,4.08,2.84786290322581,2.885
2133,4.09,2.83984722222222,2.88
2134,4.18,2.79998655913978,2.84
2135,3.99,2.60019444444444,2.65
2136,3.95,2.57322580645161,2.595
2137,3.86,2.50524193548387,2.53
2138,3.95,2.45395833333333,2.485
2139,3.91,2.49977150537634,2.53
2140,3.95,2.53952777777778,2.57
2141,3.95,2.61021505376344,2.615
2142,4.05,2.67436111111111,2.69
2143,4.2,2.81698924731183,2.88
2144,4.31,2.87059139784946,2.89
2145,4.16,2.8245,2.845
2146,4.06,2.75655913978495,2.78
2147,3.92,2.61165277777778,2.63
2148,3.89,2.52543010752688,2.56
2149,4.04,2.44994623655914,2.45
2150,3.9,2.49059523809524,2.53
2151,4.04,2.51844086021505,2.53
2152,3.94,2.52034722222222,2.545
2153,4.03,2.64454301075269,2.67
2154,3.98,2.71522222222222,2.74
2155,4.1,2.82439516129032,2.85
2156,4.13,2.84487903225806,2.88
2157,4.18,2.85433333333333,2.9
2158,4.22,2.76287634408602,2.8
2159,4.08,2.57030555555556,2.6
2160,3.93,2.51364247311828,2.55
2161,3.82,2.51115591397849,2.545
2162,3.83,2.38525862068966,2.43
2163,3.86,2.45043010752688,2.47
2164,3.9,2.49406944444444,2.51
2165,3.99,2.59350806451613,2.625
2166,NA,NA,NA
2167,NA,NA,NA
2168,NA,NA,NA
2169,4.2,2.81245833333333,2.855
2170,4.3,2.75864247311828,2.79
2171,NA,NA,NA
2172,3.9,2.59032258064516,2.59
2173,3.64,2.45032258064516,2.48
2174,3.84,2.48738095238095,2.505
2175,3.86,2.47694892473118,2.535
2176,4.09,2.55440277777778,2.59
2177,NA,NA,NA
2178,3.97,2.75560283687943,2.8
2179,NA,NA,NA
2180,NA,NA,NA
2181,4.06,2.86866666666667,2.905
2182,4.17,2.81530913978495,2.87
2183,4.13,2.69972222222222,2.75
2184,4.01,2.52411111111111,2.55
2185,3.88,2.4902602739726,2.53
2186,3.83,2.46080357142857,2.51
2187,3.83,2.48774193548387,2.55
2188,NA,NA,NA
2189,NA,NA,NA
2190,4.07,2.67419444444444,2.72
2191,NA,NA,NA
2192,NA,NA,NA
2193,NA,NA,NA
2194,4.05,2.75152682255846,2.78
2195,NA,NA,NA
2196,3.9,2.4877688172043,2.53
2197,NA,NA,NA
2198,3.84,2.45188163884674,2.5
2199,3.97,2.50364247311828,2.56
2200,3.81,2.53066666666667,2.575
2201,3.92,2.61306451612903,2.65
2202,4.04,2.76068055555556,2.8
2203,4.05,2.78353494623656,2.84
2204,4.09,2.81493279569892,2.86
2205,4.14,2.84168055555556,2.9
2206,4.07,2.72643817204301,2.77
2207,3.96,2.58555555555556,2.63
2208,3.81,2.52333333333333,2.56
2209,3.87,2.44612903225806,2.485
2210,3.86,2.40577586206897,2.47
2211,4,2.4239247311828,2.48
2212,3.89,2.50133333333333,2.53
2213,3.92,2.56310483870968,2.6
2214,NA,NA,NA
2215,4.04,2.71704301075269,2.76
2216,4.14,2.77134408602151,2.845
2217,NA,NA,NA
2218,4.19,2.76163978494624,2.835
2219,3.96,2.66861111111111,2.71
2220,3.77,2.54271505376344,2.565
2221,3.66,2.42,2.44
2222,3.88,2.47224702380952,2.51
2223,3.94,2.45331989247312,2.51
2224,3.94,2.48147222222222,2.55
2225,4.03,2.5983064516129,2.65
2226,3.98,2.72588888888889,2.78
2227,3.99,2.8059811827957,2.875
2228,NA,NA,NA
2229,NA,NA,NA
2230,NA,NA,NA
2231,4.12,2.67890277777778,2.75
2232,3.8,2.45810483870968,2.51
2233,3.6,2.40331989247312,2.47
2234,3.7,2.41125,2.47
2235,4,2.52807795698925,2.595
2236,NA,NA,NA
2237,NA,NA,NA
2238,3.98,2.64230555555556,2.67
2239,4.01,2.76768817204301,2.83
2240,4.13,2.89412634408602,2.97
2241,4.05,2.82813888888889,2.89
2242,3.97,2.65190860215054,2.72
2243,NA,NA,NA
2244,3.97,2.65229838709677,2.695
2245,3.93,2.52365591397849,2.595
2246,3.86,2.48177083333333,2.555
2247,3.89,2.51127688172043,2.595
2248,3.81,2.54731944444444,2.61
2249,3.9,2.6,2.64
2250,NA,NA,NA
2251,NA,NA,NA
2252,4.29,2.80649193548387,2.86
2253,4.05,2.79261111111111,2.89
2254,4.12,2.75229838709677,2.84
2255,3.85,2.62151388888889,2.67
2256,3.81,2.57021505376344,2.61
2257,4.03,2.46568548387097,2.52
2258,3.81,2.46127873563218,2.54
2259,3.91,2.54271830985916,2.61
2260,3.95,2.58573611111111,2.62
2261,3.81,2.61345430107527,2.66
2262,3.91,2.69430555555556,2.755
2263,4.09,2.73583333333333,2.805
2264,4.09,2.76158602150538,2.84
2265,NA,NA,NA
2266,NA,NA,NA
2267,NA,NA,NA
2268,NA,NA,NA
2269,NA,NA,NA
2270,NA,NA,NA
2271,NA,NA,NA
2272,NA,NA,NA
2273,NA,NA,NA
2274,3.89,2.66945833333333,2.705
2275,3.99,2.76516129032258,2.84
2276,NA,NA,NA
2277,NA,NA,NA
2278,4.24,2.72442204301075,2.785
2279,4.07,2.66704166666667,2.715
2280,3.9,2.64110215053763,2.7
2281,3.76,2.51022849462366,2.57
2282,3.84,2.48635416666667,2.55
2283,4.03,2.51393817204301,2.565
2284,3.95,2.61836111111111,2.68
2285,3.87,2.54245967741935,2.58
2286,3.9,2.70779166666667,2.76
2287,3.98,2.78709677419355,2.84
2288,4.18,2.85932432432432,2.92
2289,4.05,2.80749636098981,2.9
2290,4.14,2.71393817204301,2.76
2291,4.18,2.65195833333333,2.68
2292,NA,NA,NA
2293,3.92,2.46335172413793,2.52
2294,3.87,2.49192901234568,2.54
2295,3.83,2.53165322580645,2.6
2296,3.92,2.57181944444444,2.64
2297,NA,NA,NA
2298,NA,NA,NA
2299,NA,NA,NA
2300,4.16,2.91462365591398,2.98
2301,4.17,2.84590277777778,2.905
2302,NA,NA,NA
2303,3.92,2.64725,2.68
2304,3.98,2.60509408602151,2.64
2305,3.9,2.52938172043011,2.6
2306,3.92,2.48326149425287,2.55
2307,3.94,2.55931451612903,2.62
2308,3.97,2.65925,2.7
2309,NA,NA,NA
2310,3.96,2.69508333333333,2.72
2311,NA,NA,NA
2312,NA,NA,NA
2313,NA,NA,NA
2314,NA,NA,NA
2315,NA,NA,NA
2316,3.78,2.53498655913979,2.565
2317,3.96,2.53326145552561,2.56
2318,3.86,2.44903273809524,2.49
2319,3.97,2.55344086021505,2.6
2320,4.06,2.61691666666667,2.65
2321,4.01,2.6234811827957,2.64
2322,3.91,2.63793055555556,2.68
2323,3.97,2.72146853146853,2.79
2324,NA,NA,NA
2325,4.18,2.79627777777778,2.84
2326,4.18,2.77673414304993,2.84
2327,4.01,2.58352777777778,2.62
2328,3.77,2.51291666666667,2.55
2329,3.91,2.59518934081346,2.64
2330,3.83,2.49739583333333,2.565
2331,3.97,2.48336021505376,2.53
2332,NA,NA,NA
2333,4.04,2.63293010752688,2.665
2334,NA,NA,NA
2335,4.04,2.77002688172043,2.8
2336,4.13,2.90189516129032,2.94
2337,4.09,2.84641666666667,2.895
2338,4.13,2.75334677419355,2.795
2339,4.07,2.637125,2.675
2340,3.97,2.54828282828283,2.58
2341,3.96,2.5218956043956,2.56
2342,3.79,2.55035714285714,2.595
2343,3.81,2.52345430107527,2.575
2344,3.99,2.57638888888889,2.61
2345,4.12,2.64522849462366,2.67
2346,4.05,2.69486111111111,2.72
2347,4.03,2.73377688172043,2.765
2348,4.02,2.77616935483871,2.82
2349,4.07,2.81326388888889,2.87
2350,4.08,2.77227150537634,2.81
2351,4.02,2.59373611111111,2.61
2352,3.92,2.57177419354839,2.61
2353,4,2.50022849462366,2.55
2354,3.75,2.42507183908046,2.48
2355,3.81,2.47258064516129,2.49
2356,3.83,2.502625,2.53
2357,3.97,2.64372311827957,2.675
2358,4.1,2.724625,2.755
2359,4.17,2.76069892473118,2.78
2360,4.19,2.86169147496617,2.91
2361,4.15,2.83341666666667,2.87
2362,4.06,2.79215053763441,2.845
2363,4.06,2.71983333333333,2.74
2364,3.84,2.56430107526882,2.6
2365,3.94,2.51276797829037,2.56
2366,4.04,2.51544642857143,2.56
2367,4.02,2.52014784946237,2.54
2368,3.94,2.52845833333333,2.58
2369,3.87,2.61561827956989,2.65
2370,4.09,2.74421439060206,2.75
2371,4.09,2.8277688172043,2.87
2372,4.17,2.87856182795699,2.91
2373,4.23,2.82976388888889,2.85
2374,4.08,2.68435483870968,2.73
2375,4.01,2.63402777777778,2.675
2376,3.97,2.60388440860215,2.635
2377,3.94,2.54125,2.54
2378,3.96,2.53761904761905,2.6
2379,3.95,2.57663978494624,2.605
2380,4.02,2.57802777777778,2.585
2381,4.04,2.66162634408602,2.69
2382,4.04,2.83004166666667,2.87
2383,4.09,2.8785752688172,2.895
2384,4.07,2.83065860215054,2.88
2385,4.17,2.84544444444444,2.89
2386,4.27,2.80739247311828,2.855
2387,4.16,2.71008333333333,2.73
2388,4,2.56385752688172,2.58
2389,3.79,2.50048387096774,2.525
2390,3.79,2.45971726190476,2.495
2391,4.05,2.61150537634409,2.65
2392,4.07,2.62345833333333,2.67
2393,4.02,2.60897849462366,2.625
2394,4.08,2.74645833333333,2.79
2395,4.1,2.83461021505376,2.85
2396,4.13,2.90681451612903,2.94
2397,4.18,2.89486111111111,2.93
2398,4.33,2.92673387096774,2.97
2399,4.22,2.80256944444444,2.82
2400,3.92,2.55840053763441,2.595
2401,3.82,2.54456989247312,2.565
2402,3.94,2.53390804597701,2.585
2403,3.88,2.58377688172043,2.615
2404,3.86,2.54981944444444,2.58
2405,3.92,2.62494623655914,2.645
2406,4.02,2.71529166666667,2.75
2407,4.28,2.81787634408602,2.87
2408,NA,NA,NA
2409,4.27,2.90132208157525,2.95
2410,3.95,2.74543010752688,2.79
2411,3.91,2.68116666666667,2.735
2412,3.85,2.60409946236559,2.645
2413,4.09,2.63489247311828,2.66
2414,3.89,2.5428869047619,2.57
2415,3.87,2.56870967741935,2.63
2416,3.99,2.57609722222222,2.62
2417,4.03,2.64466397849462,2.68
2418,3.96,2.72811111111111,2.775
2419,4.01,2.7639972899729,2.81
2420,4.31,2.89542005420054,2.93
2421,4.26,2.93720833333333,3.005
2422,4.27,2.85869623655914,2.92
2423,3.94,2.63929166666667,2.685
2424,3.8,2.51681451612903,2.545
2425,3.82,2.49158602150538,2.53
2426,3.99,2.49818452380952,2.555
2427,4.06,2.52006720430108,2.545
2428,3.97,2.58269444444444,2.63
2429,3.99,2.74448924731183,2.79
2430,3.97,2.78269444444444,2.83
2431,4.03,2.87592741935484,2.92
2432,4.11,2.86676075268817,2.94
2433,4.24,2.89102777777778,2.97
2434,4.2,2.79836021505376,2.85
2435,3.96,2.63626388888889,2.7
2436,4.02,2.6023252688172,2.615
2437,3.77,2.47604838709677,2.525
2438,3.93,2.5463244047619,2.605
2439,3.93,2.51795698924731,2.55
2440,3.96,2.52394444444444,2.6
2441,4.09,2.68114247311828,2.725
2442,4.08,2.80331926863572,2.86
2443,3.99,2.77594086021505,2.84
2444,4.11,2.84176075268817,2.9
2445,4.25,2.88699857752489,2.94
2446,4.22,2.87513550135501,2.95
2447,4.16,2.79759722222222,2.85
2448,3.86,2.59469086021505,2.63
2449,3.86,2.54038978494624,2.59
2450,3.85,2.46472701149425,2.55
2451,3.86,2.53618279569892,2.62
2452,3.92,2.58140277777778,2.66
2453,4.06,2.73525537634409,2.775
2454,4.07,2.76948611111111,2.805
2455,4.2,2.85768817204301,2.91
2456,4.27,2.98485215053763,3.03
2457,4.13,2.89197222222222,2.995
2458,4.01,2.79102150537634,2.87
2459,4.04,2.67638888888889,2.75
2460,3.9,2.6390188172043,2.7
2461,3.87,2.5705376344086,2.6
2462,3.93,2.5347619047619,2.6
2463,3.92,2.46876344086022,2.52
2464,3.87,2.51944444444444,2.575
2465,3.85,2.62256720430108,2.665
2466,3.92,2.69673611111111,2.75
2467,3.99,2.7572676056338,2.82
2468,4.17,2.83787634408602,2.91
2469,NA,NA,NA
2470,4.06,2.76295698924731,2.81
2471,3.9,2.72415277777778,2.78
2472,3.83,2.55329301075269,2.61
