"V1","V2","V3","V4"
1801,2.256,1.57752822580645,1.585
1802,2.53,1.66167708333333,1.646
1803,2.286,1.50639784946237,1.524
1804,2.469,1.62329444444444,1.615
1805,2.499,1.75197580645161,1.737
1806,2.499,1.69447777777778,1.676
1807,2.316,1.69433333333333,1.707
1808,2.53,1.75746370967742,1.737
1809,2.957,1.85612083333333,1.859
1810,2.652,1.81703225806452,1.798
1811,2.987,1.76573333333333,1.768
1812,2.865,1.73150806451613,1.722
1813,2.377,1.61058198924731,1.585
1814,2.469,1.68897916666667,1.676
1815,3.018,1.81721505376344,1.829
1816,2.499,1.78958888888889,1.798
1817,2.56,1.78323790322581,1.768
1818,2.743,1.91950555555556,1.951
1819,2.469,1.7651061827957,1.768
1820,2.53,1.79978091397849,1.798
1821,2.499,1.80388194444444,1.798
1822,2.499,1.81493010752688,1.798
1823,2.713,1.62225833333333,1.585
1824,2.499,1.59992607526882,1.585
1825,2.621,1.67691397849462,1.661
1826,2.591,1.69451867816092,1.676
1827,2.804,1.75495430107527,1.737
1828,2.743,1.80963888888889,1.798
1829,2.621,1.86921774193548,1.859
1830,2.438,1.75843888888889,1.737
1831,2.53,1.74890994623656,1.737
1832,2.469,1.77113037634409,1.768
1833,3.109,1.84656666666667,1.859
1834,2.469,1.68119086021505,1.676
1835,3.048,1.79171388888889,1.768
1836,2.682,1.76095698924731,1.768
1837,2.835,1.81943279569892,1.829
1838,2.438,1.65260416666667,1.615
1839,2.591,1.77625,1.768
1840,2.652,1.74606666666667,1.707
1841,2.56,1.85827150537634,1.859
1842,2.652,1.82482083333333,1.829
1843,2.621,1.79524731182796,1.798
1844,2.53,1.82239784946237,1.829
1845,2.53,1.82594722222222,1.829
1846,2.835,1.80457661290323,1.798
1847,2.469,1.71396111111111,1.707
1848,2.56,1.56464784946237,1.554
1849,2.377,1.58096505376344,1.585
1850,2.347,1.63638541666667,1.615
1851,2.713,1.64877016129032,1.646
1852,2.591,1.73344305555556,1.737
1853,2.591,1.79352419354839,1.798
1854,2.56,1.790725,1.783
1855,2.408,1.76211021505376,1.768
1856,2.438,1.72260215053763,1.737
1857,2.621,1.79300972222222,1.768
1858,3.749,1.79666129032258,1.768
1859,2.438,1.69415972222222,1.676
1860,2.316,1.53654435483871,1.524
1861,2.499,1.63541397849462,1.615
1862,2.408,1.60856994047619,1.585
1863,2.56,1.69715322580645,1.676
1864,2.591,1.79545416666667,1.768
1865,2.499,1.78179838709677,1.768
1866,2.713,1.82083472222222,1.829
1867,2.591,1.78667204301075,1.768
1868,3.261,2.01454838709677,2.012
1869,2.53,1.86298472222222,1.859
1870,2.774,1.86374193548387,1.829
1871,2.499,1.67314027777778,1.646
1872,2.316,1.53484677419355,1.509
1873,2.591,1.6071814516129,1.615
1874,2.499,1.66296551724138,1.676
1875,2.53,1.73041666666667,1.707
1876,2.774,1.79514583333333,1.798
1877,2.56,1.78560887096774,1.768
1878,2.56,1.79916388888889,1.798
1879,2.591,1.82572311827957,1.829
