"V1","V2","V3","V4"
1794,1.92,1.351347222,1.34
1795,1.92,1.364314516,1.37
1796,2.01,1.373575269,1.37
1797,2.01,1.384930556,1.37
1798,2.04,1.392513441,1.385
1799,2.04,1.391152778,1.4
1800,1.98,1.404717742,1.4
1801,1.98,1.381908602,1.37
1802,1.98,1.368541667,1.37
1803,1.98,1.365658602,1.37
1804,2.07,1.348097222,1.34
1805,1.95,1.336643817,1.34
1806,1.95,1.348361111,1.34
1807,1.95,1.397674731,1.4
1808,1.98,1.403198925,1.4
1809,1.98,1.364180556,1.37
1810,2.04,1.400053763,1.4
1811,2.01,1.415138889,1.4
1812,2.04,1.462110215,1.46
1813,2.07,1.457889785,1.46
1814,2.04,1.400610119,1.4
1815,2.04,1.440913978,1.43
1816,2.01,1.422472222,1.415
1817,1.98,1.400094086,1.4
1818,1.98,1.377611111,1.37
1819,2.04,1.399637097,1.4
1820,2.04,1.415981183,1.4
1821,2.07,1.436291667,1.43
1822,2.04,1.447876344,1.43
1823,2.04,1.451583333,1.43
1824,2.16,1.483709677,1.46
1825,2.13,1.480405914,1.46
1826,2.1,1.433558908,1.43
1827,2.04,1.407379032,1.4
1828,1.98,1.378569444,1.37
1829,1.92,1.368364247,1.37
1830,1.95,1.390319444,1.4
1831,2.04,1.424475806,1.415
1832,2.07,1.429448925,1.43
1833,2.1,1.457473611,1.445
1834,2.13,1.455215054,1.43
1835,2.04,1.472041667,1.46
1836,2.13,1.484798387,1.49
1837,2.16,1.484623656,1.49
1838,2.13,1.402767857,1.4
1839,2.07,1.40375,1.4
1840,2.07,1.380833333,1.37
1841,1.98,1.397943548,1.4
1842,1.98,1.379430556,1.37
1843,2.04,1.414448925,1.43
1844,2.1,1.447379032,1.43
1845,2.19,1.467194444,1.46
1846,2.1,1.452227151,1.46
1847,2.04,1.428611111,1.43
1848,2.1,1.483736559,1.49
1849,2.04,1.433252688,1.43
1850,2.01,1.396785714,1.4
1851,2.16,1.446586022,1.43
1852,2.1,1.437347222,1.43
1853,2.07,1.421155914,1.4
1854,2.01,1.414805556,1.4
1855,2.04,1.422849462,1.43
1856,2.01,1.441129032,1.43
1857,2.1,1.433152778,1.43
1858,2.07,1.421908602,1.43
1859,2.1,1.473027778,1.46
1860,2.07,1.455239247,1.46
1861,2.13,1.489395161,1.49
1862,2.04,1.390833333,1.385
1863,2.04,1.397287634,1.4
1864,2.04,1.428951389,1.43
1865,2.01,1.391458333,1.385
1866,2.01,1.387777778,1.37
1867,1.98,1.387150538,1.37
1868,2.01,1.387903226,1.37
1869,2.01,1.409263889,1.4
1870,2.01,1.390389785,1.4
1871,2.04,1.4255,1.43
1872,2.07,1.439771505,1.43
1873,2.07,1.458543011,1.46
1874,2.1,1.406899425,1.4
1875,2.01,1.411096774,1.4
1876,2.01,1.414854167,1.4
1877,1.95,1.349680108,1.34
1878,1.98,1.377805556,1.37
1879,2.07,1.446774194,1.43
1880,2.04,1.434432796,1.43
1881,2.04,1.437986111,1.43
