"V1","V2","V3","V4"
1879,6.14,3.09213709677419,2.975
1880,NA,NA,NA
1881,NA,NA,NA
1882,NA,NA,NA
1883,6.26,3.23937592867756,3.1
1884,6.14,3.14318548387097,3.04
1885,5.94,3.14587365591398,3.06
1886,6.48,3.26761904761905,3.165
1887,6.55,3.16932795698925,3.09
1888,6.09,3.06588888888889,2.92
1889,NA,NA,NA
1890,6.02,3.14576388888889,2.97
1891,6.23,3.2065188172043,3.125
1892,6.47,3.24104838709677,3.12
1893,6.41,3.30479166666667,3.165
1894,6.55,3.25040322580645,3.145
1895,6.53,3.21948611111111,3.065
1896,6.5,3.24650537634409,3.16
1897,6.52,3.2604435483871,3.16
1898,6.74,3.31645833333333,3.18
1899,6.64,3.13698924731183,3.025
1900,6.44,3.14163888888889,2.975
1901,6.15,3.13805107526882,2.995
1902,6.05,3.18631944444444,3.105
1903,6.05,3.23801075268817,3.125
1904,6.26,3.27130376344086,3.165
1905,6.38,3.28378830083565,3.17
1906,NA,NA,NA
1907,NA,NA,NA
1908,NA,NA,NA
1909,6.68,3.40666666666667,3.29
1910,6.18,3.03822916666667,2.89
1911,6.36,3.18875,3.1
1912,6.15,3.24180555555556,3.175
1913,6.11,3.14510752688172,3.005
1914,6.07,3.19322222222222,3.115
1915,6.07,3.2064247311828,3.125
1916,6.07,3.20385752688172,3.13
1917,6.09,3.21938888888889,3.03
1918,6.31,3.31833333333333,3.25
1919,6.54,3.19913888888889,3.12
1920,6.68,3.27845430107527,3.24
1921,6.48,3.24797043010753,3.1
1922,6.31,3.21070402298851,3.1
1923,6.19,3.1377688172043,3.03
1924,6.31,3.16193055555556,3.08
1925,6.13,3.16559139784946,3.045
1926,6.21,3.203375,3.075
1927,6.28,3.26408602150538,3.145
1928,6.28,3.29646505376344,3.21
1929,6.38,3.24126388888889,3.13
1930,6.29,3.35555107526882,3.21
1931,6.38,3.41538888888889,3.37
1932,6.55,3.2695564516129,3.185
1933,6.05,3.15541666666667,3.12
1934,6.18,3.18345238095238,3.065
1935,6.92,3.19137096774194,3.11
1936,6.18,3.19438888888889,3.155
1937,6.03,3.20502688172043,3.1
1938,6.21,3.20751388888889,3.075
1939,6.25,3.22154569892473,3.11
1940,6.3,3.23721774193548,3.1
1941,6.26,3.24065277777778,3.11
1942,6.45,3.32860215053763,3.325
1943,6.23,3.27729166666667,3.23
1944,6.11,3.29959677419355,3.24
1945,6.29,3.26364247311828,3.155
1946,NA,NA,NA
1947,NA,NA,NA
1948,NA,NA,NA
1949,6.22,3.1642037302726,3.07
1950,5.92,3.10215277777778,3
