V1,V2,V3,V4
1878,4.82,2.382729805,2.38
1879,4.88,2.39425876,2.38
1880,4.82,2.378238482,2.35
1881,4.66,2.380659187,2.38
1882,4.88,2.337854077,2.26
1883,4.63,2.408364964,2.38
1884,4.82,2.42733882,2.38
1885,NA,NA,NA
1886,5.03,2.441479821,2.44
1887,4.82,2.449233871,2.44
1888,4.75,2.347969402,2.35
1889,4.69,2.433104839,2.44
1890,NA,NA,NA
1891,NA,NA,NA
1892,NA,NA,NA
1893,NA,NA,NA
1894,NA,NA,NA
1895,NA,NA,NA
1896,NA,NA,NA
1897,NA,NA,NA
1898,NA,NA,NA
1899,NA,NA,NA
1900,NA,NA,NA
1901,NA,NA,NA
1902,NA,NA,NA
1903,NA,NA,NA
1904,NA,NA,NA
1905,NA,NA,NA
1906,NA,NA,NA
1907,NA,NA,NA
1908,NA,NA,NA
1909,NA,NA,NA
1910,NA,NA,NA
1911,NA,NA,NA
1912,NA,NA,NA
1913,NA,NA,NA
1914,NA,NA,NA
1915,NA,NA,NA
1916,NA,NA,NA
1917,NA,NA,NA
1918,NA,NA,NA
1919,NA,NA,NA
1920,NA,NA,NA
1921,NA,NA,NA
1922,NA,NA,NA
1923,NA,NA,NA
1924,NA,NA,NA
1925,NA,NA,NA
1926,NA,NA,NA
1927,NA,NA,NA
1928,NA,NA,NA
1929,NA,NA,NA
1930,NA,NA,NA
1931,NA,NA,NA
1932,NA,NA,NA
1933,NA,NA,NA
1934,NA,NA,NA
1935,NA,NA,NA
1936,NA,NA,NA
1937,NA,NA,NA
1938,NA,NA,NA
1939,NA,NA,NA
1940,NA,NA,NA
1941,NA,NA,NA
1942,NA,NA,NA
1943,NA,NA,NA
1944,NA,NA,NA
1945,NA,NA,NA
1946,NA,NA,NA
1947,NA,NA,NA
1948,NA,NA,NA
1949,NA,NA,NA
1950,NA,NA,NA
1951,NA,NA,NA
1952,NA,NA,NA
1953,NA,NA,NA
1954,NA,NA,NA
1955,NA,NA,NA
1956,NA,NA,NA
1957,NA,NA,NA
1958,NA,NA,NA
1959,NA,NA,NA
1960,NA,NA,NA
1961,NA,NA,NA
1962,NA,NA,NA
1963,NA,NA,NA
1964,NA,NA,NA
1965,NA,NA,NA
1966,NA,NA,NA
1967,NA,NA,NA
1968,NA,NA,NA
1969,NA,NA,NA
1970,NA,NA,NA
1971,NA,NA,NA
1972,NA,NA,NA
1973,NA,NA,NA
1974,NA,NA,NA
1975,NA,NA,NA
1976,NA,NA,NA
1977,NA,NA,NA
1978,NA,NA,NA
1979,NA,NA,NA
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,5.03,2.492305556,2.49
2002,4.71,2.422231183,2.445
2003,4.76,2.447888889,2.45
2004,4.81,2.506424731,2.495
2005,5.21,2.528454301,2.535
2006,5,2.493318452,2.505
2007,4.97,2.511424731,2.53
2008,4.98,2.558972222,2.56
2009,4.99,2.574166667,2.58
2010,4.83,2.600805556,2.675
2011,4.66,2.413467742,2.47
2012,4.66,2.400483871,2.395
2013,4.63,2.440527778,2.37
2014,4.76,2.426021505,2.435
2015,5.1,2.491111111,2.495
2016,5.03,2.518225806,2.5
2017,4.75,2.437930108,2.42
2018,4.69,2.514367816,2.505
2019,4.81,2.475430108,2.565
2020,4.88,2.429347222,2.41
2021,4.88,2.462405914,2.47
2022,NA,NA,NA
2023,4.77,2.437699594,2.46
2024,NA,NA,NA
2025,4.71,2.470405594,2.48
2026,4.88,2.455551075,2.45
2027,5.12,2.531444444,2.52
2028,5.09,2.505430108,2.485
2029,4.92,2.480053763,2.45
2030,4.76,2.53860119,2.535
2031,4.68,2.53313172,2.53
2032,4.65,2.440013889,2.43
2033,4.82,2.449502688,2.4
2034,4.88,2.454388889,2.435
2035,4.92,2.461787634,2.495
2036,4.98,2.523346774,2.485
2037,4.74,2.463736111,2.47
2038,4.82,2.554771505,2.535
2039,5.14,2.575583333,2.59
2040,4.98,2.586680108,2.55
2041,5.13,2.581626344,2.55
2042,4.92,2.49452381,2.47
2043,5.06,2.492043011,2.48
2044,4.78,2.5045,2.465
2045,4.68,2.412043011,2.425
2046,4.86,2.486041667,2.47
2047,4.94,2.445833333,2.465
2048,4.94,2.489717742,2.49
2049,4.85,2.541263889,2.62
2050,4.83,2.52280914,2.55
2051,4.95,2.581055556,2.595
2052,4.89,2.602956989,2.635
2053,5.14,2.609677419,2.59
2054,5.02,2.51077381,2.465
2055,5.01,2.571814516,2.565
2056,5.04,2.593486111,2.63
2057,4.88,2.524731183,2.56
2058,4.71,2.504861111,2.475
2059,4.65,2.446317204,2.43
2060,4.75,2.435752688,2.43
2061,4.72,2.422222222,2.425
2062,5.03,2.502741935,2.495
2063,5.06,2.564166667,2.555
2064,4.86,2.502096774,2.48
2065,4.76,2.522069892,2.505
2066,4.95,2.512298851,2.47
2067,5.17,2.528387097,2.53
2068,5.12,2.523236111,2.53
2069,4.98,2.495913978,2.48
2070,5.02,2.488902778,2.48
2071,4.7,2.474018817,2.415
2072,4.68,2.464193548,2.45
2073,4.7,2.473944444,2.44
2074,4.95,2.503991935,2.48
2075,5.05,2.585486111,2.55
2076,5.22,2.58969086,2.555
2077,5.15,2.594811828,2.56
2078,4.85,2.53921131,2.55
2079,4.94,2.539274194,2.525
2080,5.24,2.553333333,2.515
2081,5.01,2.480215054,2.455
2082,4.99,2.438652778,2.36
2083,4.93,2.455685484,2.465
2084,4.71,2.414475806,2.44
2085,4.62,2.479152778,2.49
2086,4.8,2.496223118,2.49
2087,4.8,2.466805556,2.445
2088,5.01,2.406491935,2.365
2089,4.81,2.456586022,2.47
2090,5.09,2.505684524,2.495
2091,4.87,2.471034946,2.465
2092,4.83,2.465972222,2.47
2093,4.87,2.466424731,2.43
2094,4.93,2.451708333,2.46
2095,4.96,2.482513441,2.43
2096,4.91,2.412271505,2.485
2097,4.8,2.437458333,2.43
2098,4.66,2.391948925,2.355
2099,4.99,2.517055556,2.525
2100,5,2.525725806,2.5
2101,5.26,2.515913978,2.47
2102,4.98,2.513214286,2.48
2103,5.09,2.497782258,2.48
2104,4.83,2.500013889,2.495
2105,4.72,2.45,2.465
2106,4.67,2.4955,2.475
2107,NA,NA,NA
2108,4.79,2.441747312,2.4
2109,NA,NA,NA
2110,4.83,2.500343879,2.45
2111,5.02,2.597819444,2.595
2112,5.11,2.533387097,2.515
2113,4.9,2.546693548,2.54
2114,NA,NA,NA
2115,5.17,2.447231183,2.415
2116,NA,NA,NA
2117,4.84,2.441290323,2.405
2118,4.97,2.437472222,2.47
2119,NA,NA,NA
2120,NA,NA,NA
2121,NA,NA,NA
2122,NA,NA,NA
2123,NA,NA,NA
2124,NA,NA,NA
2125,NA,NA,NA
2126,NA,NA,NA
2127,NA,NA,NA
2128,5.39,2.444949495,2.41
2129,5.09,2.484314516,2.47
2130,5.01,2.525944444,2.55
2131,5.04,2.461814516,2.405
2132,4.72,2.449247312,2.405
2133,4.71,2.515502874,2.52
2134,5.07,2.53030914,2.53
2135,5.08,2.507402778,2.47
2136,4.85,2.574341398,2.575
2137,5.31,2.536680108,2.505
2138,5.27,2.605282738,2.575
2139,4.84,2.481586022,2.445
2140,4.85,2.531902778,2.52
2141,4.89,2.462056452,2.44
