"V1","V2","V3","V4"
2161,2.134,1.760534946,1.762
2162,2.082,1.73612931,1.731
2163,2.399,1.739376344,1.743
2164,2.353,1.829659722,1.8275
2165,2.38,1.853936828,1.865
2166,2.121,1.796345833,1.795
2167,2.1,1.777715054,1.777
2168,2.35,1.854103495,1.841
2169,2.362,1.904288889,1.899
2170,NA,NA,NA
2171,NA,NA,NA
2172,NA,NA,NA
2173,1.957,1.615978495,1.628
2174,2.216,1.703327381,1.7055
2175,2.073,1.699907258,1.692
2176,2.036,1.780263889,1.777
2177,2.301,1.861607527,1.85
2178,2.204,1.863013889,1.862
2179,2.225,1.836787634,1.829
2180,2.21,1.86275672,1.853
2181,2.121,1.856826389,1.865
2182,2.115,1.850076613,1.862
2183,2.149,1.849991667,1.85
2184,2.204,1.739385753,1.719
2185,2.063,1.712,1.719
2186,2.097,1.748504464,1.745
2187,2.143,1.804428763,1.8025
2188,2.118,1.816948611,1.823
2189,2.137,1.840354839,1.835
2190,2.188,1.847586111,1.847
2191,2.097,1.766427419,1.7695
2192,2.17,1.81597043,1.817
2193,2.195,1.915658333,1.905
2194,2.222,1.932112903,1.929
2195,2.228,1.880115278,1.893
2196,2.387,1.918110215,1.9095
2197,2.399,1.846497312,1.8425
2198,2.307,1.848933036,1.841
2199,2.326,1.864439516,1.8635
2200,2.316,1.846109722,1.835
2201,2.277,1.941331989,1.951
2202,2.265,1.959404167,1.957
2203,2.231,1.875913978,1.893
2204,2.14,1.856307796,1.853
2205,2.262,1.924383333,1.92
2206,2.246,1.952807796,1.972
2207,2.359,1.926561111,1.911
2208,2.234,1.807295699,1.811
2209,2.237,1.762896505,1.7725
2210,2.313,1.734487069,1.743
2211,2.286,1.766481183,1.759
2212,2.173,1.8217875,1.847
2213,2.207,1.902048387,1.911
2214,2.274,1.913652778,1.932
2215,2.298,1.893153226,1.89
2216,2.42,1.932260753,1.923
2217,2.512,2.01105,2.0105
2218,2.313,2.006766129,2.012
2219,2.295,1.937302778,1.9675
2220,2.246,1.901723118,1.929
2221,2.204,1.768478495,1.768
2222,2.094,1.7475,1.765
2223,2.259,1.825157258,1.826
2224,2.192,1.862783333,1.856
2225,2.219,1.890193548,1.8945
2226,2.198,1.861529167,1.862
2227,2.161,1.818387097,1.8215
2228,2.6,1.935037634,1.908
2229,2.38,2.040804167,2.039
2230,3.127,2.108282258,2.073
2231,2.338,1.960734722,1.9525
2232,2.374,1.809357527,1.795
2233,2.14,1.745967742,1.7485
2234,2.161,1.793522321,1.783
2235,2.1,1.741521505,1.74
2236,2.192,1.856461111,1.85
2237,2.243,1.951758065,1.963
2238,2.332,1.934643056,1.92
2239,2.115,1.816641129,1.82
2240,2.198,1.838235215,1.844
2241,2.243,1.990144444,1.99
2242,2.371,2.034018817,2.027
2243,2.353,1.992934722,1.993
2244,2.377,1.858086022,1.871
2245,2.176,1.768100806,1.777
2246,2.188,1.803412202,1.811
2247,2.487,1.932916667,1.923
2248,2.097,1.746791667,1.7485
2249,2.231,1.852038978,1.85
2250,2.31,1.9275875,1.923
2251,2.243,1.912862903,1.887
2252,2.198,1.84740457,1.8485
2253,2.28,1.925175,1.9245
2254,2.179,1.834392473,1.844
2255,2.219,1.871245833,1.8765
2256,2.246,1.819178763,1.8275
2257,2.301,1.731616935,1.719
2258,2.149,1.730991379,1.7175
2259,2.112,1.742399194,1.771
2260,2.323,1.822598611,1.8335
2261,2.158,1.814829301,1.814
2262,2.21,1.865461111,1.878
2263,2.195,1.817299731,1.829
2264,2.164,1.856111559,1.853
2265,2.408,2.015715278,2.009
2266,2.216,1.906459677,1.896
2267,2.256,1.867211111,1.8885
2268,2.274,1.770517473,1.756
2269,2.146,1.807009409,1.807
2270,2.128,1.767863095,1.745
2271,2.195,1.808830645,1.814
2272,2.094,1.808213889,1.826
2273,2.234,1.831407258,1.832
2274,2.256,1.916055556,1.9305
2275,2.344,1.877909946,1.881
2276,2.31,1.933291667,1.917
2277,2.24,1.990954167,1.99
2278,2.313,1.913719086,1.899
2279,2.304,1.835088889,1.832
2280,2.054,1.661192204,1.689
2281,2.048,1.696802419,1.7085
2282,2.252,1.814299107,1.807
2283,2.277,1.914564516,1.9275
2284,2.444,1.924056944,1.923
2285,2.371,2.009159946,2.003
2286,NA,NA,NA
2287,NA,NA,NA
2288,2.387,1.970416667,1.963
2289,2.301,2.011068056,2.018
2290,2.31,1.940061828,1.926
2291,2.359,1.976588889,1.972
2292,2.396,1.841352151,1.8125
2293,2.31,1.86843414,1.868
2294,2.094,1.81408631,1.826
2295,2.283,1.89719086,1.902
2296,2.42,2.007275,2.012
2297,2.512,2.123159946,2.121
2298,NA,NA,NA
2299,2.225,1.91227957,1.92
2300,2.207,1.91894086,1.923
2301,2.387,2.061990278,2.063
2302,2.472,2.025771505,2.012
2303,2.341,1.940780556,1.963
2304,2.338,1.859680108,1.865
2305,2.32,1.855642473,1.862
2306,2.344,1.889001437,1.887
2307,2.158,1.830301075,1.838
