"V1","V2","V3","V4"
2041,0.33,-0.367244623655914,-0.36
2042,0.5,-0.298943452380952,-0.32
2043,NA,NA,NA
2044,0.36,-0.263135215453195,-0.26
2045,0.17,-0.307647849462366,-0.32
2046,0.24,-0.248708333333333,-0.27
2047,0.34,-0.0297043010752688,-0.04
2048,0.22,-0.18489247311828,-0.19
2049,0.46,-0.0845972222222222,-0.07
2050,1.15,-0.0604704301075269,-0.09
2051,0.35,-0.123277777777778,-0.14
2052,0.45,-0.196263440860215,-0.21
2053,0.66,-0.149811827956989,-0.165
2054,0.44,-0.221845238095238,-0.22
2055,0.19,-0.408131720430108,-0.4
2056,0.3,-0.323055555555556,-0.36
2057,0.03,-0.283682795698925,-0.295
2058,0.21,-0.205097222222222,-0.2
2059,0.15,-0.217741935483871,-0.23
2060,NA,NA,NA
2061,NA,NA,NA
2062,NA,NA,NA
2063,0.61,-0.083625,-0.1
2064,NA,NA,NA
2065,NA,NA,NA
2066,NA,NA,NA
2067,0.32,-0.39857962697274,-0.46
2068,0.35,-0.187916666666667,-0.2
2069,0.15,-0.280174731182796,-0.28
2070,0.3,-0.17865090403338,-0.2
2071,NA,NA,NA
2072,NA,NA,NA
2073,NA,NA,NA
2074,NA,NA,NA
2075,0.7,-0.0110277777777778,-0.01
2076,0.88,-0.0614784946236559,-0.075
2077,0.29,-0.207540322580645,-0.23
2078,0.82,-0.132232142857143,-0.16
2079,0.21,-0.248279569892473,-0.25
2080,0.39,-0.288875,-0.32
2081,NA,NA,NA
2082,NA,NA,NA
2083,0.23,-0.16760752688172,-0.17
2084,0.42,-0.159865591397849,-0.18
2085,0.28,-0.231236111111111,-0.23
2086,0.31,-0.227956989247312,-0.23
2087,0.96,-0.0114166666666667,-0.04
2088,0.52,-0.12760752688172,-0.12
2089,0.43,-0.116774193548387,-0.11
2090,0.63,-0.192276785714286,-0.21
2091,0.38,-0.491088709677419,-0.51
2092,-0.2,-0.510041666666667,-0.51
2093,0.22,-0.419072580645161,-0.42
2094,NA,NA,NA
2095,NA,NA,NA
2096,NA,NA,NA
2097,NA,NA,NA
2098,0.1,-0.337594086021505,-0.34
2099,0.44,-0.206152777777778,-0.21
2100,0.62,0.095510752688172,0.09
2101,0.87,0.0963037634408602,0.08
2102,NA,NA,NA
2103,0.33,-0.322715053763441,-0.35
2104,0.05,-0.387583333333333,-0.38
2105,0.16,-0.304569892473118,-0.3
2106,0.2,-0.227819444444444,-0.23
2107,0.43,-0.126451612903226,-0.14
2108,0.3,-0.158024193548387,-0.16
2109,0.73,0.0236111111111111,0.01
2110,0.69,-0.170470430107527,-0.2
