"V1","V2","V3","V4"
1765,1.768,1.22883871,1.25
1766,1.89,1.163816964,1.158
1767,1.768,1.184266129,1.189
1768,1.707,1.205797222,1.219
1769,2.012,1.315262097,1.341
1770,1.92,1.365384722,1.402
1771,NA,NA,NA
1772,1.859,1.345986559,1.372
1773,NA,NA,NA
1774,NA,NA,NA
1775,NA,NA,NA
1776,NA,NA,NA
1777,NA,NA,NA
1778,1.798,1.245748563,1.25
1779,2.012,1.401169355,1.402
1780,1.981,1.345097222,1.341
1781,1.829,1.376455645,1.402
1782,1.92,1.3897375,1.402
1783,1.92,1.394978495,1.402
1784,1.951,1.385884409,1.402
1785,1.981,1.400325,1.402
1786,1.92,1.403614247,1.433
1787,1.89,1.369275,1.372
1788,2.012,1.261616935,1.311
1789,1.768,1.215033602,1.219
1790,1.737,1.222322917,1.25
1791,1.829,1.229275538,1.219
1792,1.951,1.267319444,1.28
1793,1.798,1.285016129,1.311
1794,1.89,1.367683333,1.372
1795,1.92,1.367694892,1.372
1796,2.134,1.400091398,1.402
1797,1.92,1.429729167,1.433
1798,2.012,1.457841398,1.494
1799,1.89,1.2932125,1.311
1800,1.768,1.19497043,1.219
1801,1.951,1.285288978,1.28
1802,1.92,1.230495536,1.25
1803,1.798,1.208114247,1.219
1804,1.768,1.251543056,1.28
1805,1.89,1.298552419,1.311
1806,1.859,1.286381944,1.311
1807,1.859,1.329922043,1.341
1808,2.012,1.403485215,1.402
1809,2.56,1.423788889,1.433
1810,1.89,1.350990591,1.372
1811,1.859,1.304198611,1.311
1812,1.89,1.268163978,1.28
1813,1.768,1.196711022,1.219
1814,1.829,1.168028274,1.189
1815,1.859,1.263736559,1.28
1816,1.737,1.231194444,1.25
1817,1.89,1.249830645,1.25
1818,1.89,1.319429167,1.341
1819,1.92,1.317260753,1.311
1820,1.92,1.344790323,1.341
1821,1.89,1.393377778,1.402
1822,1.859,1.359510753,1.372
1823,2.195,1.285840278,1.28
1824,1.92,1.280524194,1.311
1825,1.829,1.224002688,1.25
1826,1.829,1.227668103,1.219
1827,1.89,1.260831989,1.28
1828,1.92,1.227879167,1.219
1829,1.859,1.304427419,1.341
1830,1.89,1.294638889,1.311
1831,NA,NA,NA
1832,NA,NA,NA
1833,NA,NA,NA
1834,NA,NA,NA
1835,NA,NA,NA
1836,NA,NA,NA
1837,1.859,1.243342742,1.25
1838,1.981,1.222183036,1.219
1839,1.768,1.234401882,1.25
1840,1.951,1.2752875,1.28
1841,1.829,1.302244624,1.311
1842,1.981,1.387972222,1.387
1843,1.829,1.299361559,1.311
