"V1","V2","V3","V4"
1921,0.23,-0.0963978494623656,-0.11
1922,-0.06,-0.228045977011494,-0.22
1923,-0.22,-0.428010752688172,-0.46
1924,-0.02,-0.328388888888889,-0.33
1925,-0.02,-0.166572580645161,-0.15
1926,0.14,-0.04175,-0.06
1927,0.27,0.067244623655914,0.05
1928,0.25,0.0747177419354839,0.08
1929,0.33,0.0595416666666667,0.055
1930,-0.04,-0.195389784946237,-0.19
1931,0.07,-0.145708333333333,-0.13
1932,0.48,0.10616935483871,0.07
1933,0.07,-0.14252688172043,-0.11
1934,0.23,-0.00724702380952381,0.01
1935,0.61,0.178897849462366,0.19
1936,0.48,0.0722361111111111,0.05
1937,0.15,-0.049758064516129,-0.01
1938,0.3,0.0664722222222222,0.04
1939,0.35,0.209018817204301,0.22
1940,0.35,0.236424731182796,0.24
1941,0.25,0.121152777777778,0.14
1942,0.22,-0.11255376344086,-0.11
1943,0.32,0.0424583333333333,0.03
1944,0.39,0.0990188172043011,0.06
1945,0.58,0.227083333333333,0.22
1946,0.66,0.236800595238095,0.2
1947,0.02,-0.157069892473118,-0.17
1948,0.02,-0.140791666666667,-0.14
1949,-0.01,-0.102889784946237,-0.1
1950,0.26,0.002,-0.02
1951,0.35,0.134852150537634,0.12
1952,0.34,0.119287634408602,0.1
1953,0.47,0.261194444444444,0.28
1954,0.23,0.0212365591397849,0.02
1955,0.17,-0.0789444444444444,-0.1
1956,0.33,0.0605913978494624,0.03
1957,0.1,-0.175685483870968,-0.19
1958,0,-0.201830357142857,-0.21
1959,0.02,-0.257204301075269,-0.26
1960,-0.2,-0.333069444444444,-0.32
1961,-0.14,-0.232715053763441,-0.23
1962,0.13,-0.186027777777778,-0.19
1963,0.08,-0.0134274193548387,0
1964,0.18,-0.0152688172043011,0
1965,0.18,-0.0639583333333333,-0.08
1966,0.43,0.207715053763441,0.2
1967,0.45,0.109152777777778,0.07
1968,0.33,0.0251075268817204,0.02
1969,0.26,0.0317069892473118,0.03
1970,0.45,0.0946408045977011,0.17
1971,-0.18,-0.378991935483871,-0.39
1972,-0.19,-0.329291666666667,-0.27
1973,0.08,-0.0646370967741935,-0.06
1974,0.1,-0.0702638888888889,-0.08
1975,0.25,0.0744758064516129,0.07
1976,0.3,0.0569758064516129,0.03
1977,0.39,0.11625,0.11
1978,0.25,0.019489247311828,0.02
1979,0.49,0.0660138888888889,0.04
1980,0.55,0.18866935483871,0.21
1981,0.34,0.0692876344086022,0.08
1982,0.26,-0.0040625,-0.025
1983,-0.03,-0.157190860215054,-0.17
1984,-0.03,-0.171333333333333,-0.18
1985,0,-0.220241935483871,-0.21
1986,0.19,-0.121819444444444,-0.16
1987,0.34,0.153467741935484,0.18
