"V1","V2","V3","V4"
1804,4.938,2.635155556,2.6365
1805,4.877,2.608693548,2.591
1806,4.938,2.657868056,2.682
1807,4.877,2.660775538,2.652
1808,4.663,2.667004032,2.682
1809,4.907,2.705977778,2.682
1810,5.029,2.699788978,2.682
1811,5.09,2.752045833,2.789
1812,5.212,2.714048387,2.6975
1813,5.09,2.648401882,2.652
1814,5.09,2.616690476,2.591
1815,4.877,2.730537634,2.743
1816,4.785,2.694931944,2.682
1817,5.06,2.725227151,2.713
1818,5.06,2.725173611,2.743
1819,5.151,2.70822043,2.713
1820,5.029,2.715297043,2.774
1821,4.785,2.709945833,2.682
1822,4.877,2.712748656,2.682
1823,4.968,2.729440278,2.743
1824,5.09,2.693944892,2.6365
1825,5.09,2.702201613,2.743
1826,5.09,2.743070402,2.743
1827,4.846,2.700022849,2.667
1828,4.663,2.685576389,2.682
1829,4.846,2.775391129,2.7585
1830,5.029,2.7607125,2.7585
1831,4.877,2.689067204,2.682
1832,4.968,2.682245968,2.728
1833,4.938,2.680448611,2.652
1834,4.846,2.688958333,2.682
1835,4.907,2.708391667,2.713
1836,4.938,2.769373656,2.774
1837,5.09,2.775170699,2.774
1838,5.425,2.656962798,2.652
1839,5.06,2.698424731,2.682
1840,5.121,2.733726389,2.774
1841,4.877,2.736204301,2.728
1842,4.785,2.710101389,2.682
1843,4.816,2.692571237,2.713
1844,4.907,2.718134409,2.713
1845,4.877,2.705472222,2.743
1846,5.121,2.688391129,2.682
1847,4.938,2.702520833,2.713
1848,4.907,2.703575269,2.743
1849,5.06,2.714557796,2.728
1850,5.029,2.71725,2.713
1851,4.816,2.703557796,2.667
1852,4.877,2.652138889,2.682
1853,5.121,2.764451613,2.728
1854,5.06,2.744352778,2.713
1855,4.785,2.729102151,2.713
1856,4.663,2.722517473,2.728
1857,4.907,2.722595833,2.743
1858,5.121,2.730986559,2.728
1859,4.907,2.7037,2.743
1860,5.151,2.712797043,2.713
1861,5.09,2.756674731,2.774
1862,4.938,2.643683036,2.652
1863,5.243,2.697956989,2.6975
1864,5.121,2.748981944,2.743
1865,5.029,2.749442204,2.728
1866,5.09,2.758320833,2.728
1867,4.968,2.723130376,2.682
1868,4.907,2.724145161,2.713
1869,4.633,2.656272222,2.682
1870,4.938,2.731252688,2.743
1871,5.121,2.744190278,2.743
1872,5.121,2.61234543,2.621
1873,4.968,2.725482527,2.804
1874,4.968,2.651308908,2.621
1875,5.182,2.706787634,2.743
1876,4.846,2.732331944,2.774
1877,4.907,2.676693548,2.652
1878,4.999,2.718398611,2.713
1879,5.09,2.730821237,2.713
1880,5.06,2.736735215,2.728
1881,4.877,2.699048611,2.682
1882,4.907,2.674081989,2.652
1883,4.785,2.728647222,2.728
1884,4.907,2.68052957,2.682
1885,NA,NA,NA
1886,5.121,2.656672619,2.682
1887,4.938,2.726537634,2.713
1888,4.877,2.654434722,2.652
1889,4.785,2.729657258,2.743
1890,5.029,2.721061111,2.713
1891,5.029,2.751649194,2.774
1892,4.938,2.689153226,2.652
1893,5.029,2.703186111,2.743
1894,5.06,2.704619624,2.713
1895,5.09,2.7284125,2.743
1896,4.968,2.663282258,2.682
1897,5.029,2.787568548,2.804
1898,5.06,2.776949405,2.804
1899,5.182,2.865787634,2.835
1900,5.273,2.798443056,2.774
1901,4.968,2.695975806,2.682
1902,4.999,2.743243056,2.774
1903,4.938,2.741849462,2.743
