V1,V2,V3,V4
1952,3.322,2.164078984,2.134
1953,3.481,2.157877778,2.134
1954,3.261,1.985294355,1.981
1955,3.292,1.965470833,1.951
1956,3.2,2.026290323,2.042
1957,3.17,2.041357527,2.042
1958,3.231,2.021751488,2.012
1959,3.475,2.074126344,2.0575
1960,NA,NA,NA
1961,3.475,2.149705645,2.164
1962,3.383,2.200693056,2.195
1963,3.292,2.193208333,2.21
1964,3.292,2.228290323,2.225
1965,3.414,2.179475,2.164
1966,3.414,2.169954301,2.164
1967,3.566,2.121627778,2.103
1968,3.475,2.1715,2.195
1969,3.292,2.073258065,2.073
1970,3.231,2.025889368,2.027
1971,3.109,1.918587366,1.92
1972,3.261,1.968323611,1.951
1973,3.353,2.052513441,2.042
1974,3.139,1.905220833,1.92
1975,3.353,2.097330645,2.103
1976,3.2,2.082774194,2.042
1977,3.231,2.118590278,2.0995
1978,3.383,2.173153226,2.195
1979,3.432,2.077648611,2.073
1980,3.292,2.074727151,2.042
1981,3.388,2.091965054,2.073
1982,3.109,2.049232143,2.042
1983,3.292,2.12572043,2.134
1984,3.231,2.077966667,2.073
1985,3.322,2.074826613,2.042
1986,3.322,2.155408333,2.164
1987,3.383,2.163215054,2.134
1988,3.383,2.177689516,2.195
1989,3.322,2.194715278,2.195
1990,3.261,2.128111559,2.134
1991,3.292,2.140069444,2.149
1992,3.261,2.135514785,2.134
1993,3.383,2.12043414,2.1185
1994,3.261,2.059355655,2.073
1995,3.292,1.995790323,2.012
1996,3.231,2.002933333,1.981
1997,3.261,2.111393817,2.1185
1998,3.109,1.994888889,2.012
1999,3.2,2.095334677,2.073
2000,3.261,2.08956586,2.073
2001,NA,NA,NA
2002,3.292,2.025888441,2.012
2003,3.292,2.069308333,2.042
2004,3.17,2.051709677,2.042
2005,3.2,2.074219086,2.073
2006,3.261,2.014221726,2.042
2007,3.292,1.965369624,1.951
2008,3.292,1.985858333,1.9965
2009,3.292,2.042801075,2.042
2010,3.109,2.098672222,2.103
2011,3.2,2.162849462,2.134
2012,3.17,2.079735215,2.103
2013,3.353,2.088029167,2.103
2014,3.444,2.112337366,2.103
2015,3.444,2.068759722,2.073
2016,3.231,2.014379032,2.012
