"V1","V2","V3","V4"
1957,2.38,1.68713440860215,1.76
1958,2.27,1.55875,1.6
1959,2.15,1.4847311827957,1.54
1960,2.02,1.40297222222222,1.48
1961,2.19,1.4714435483871,1.535
1962,2.14,1.49378888888889,1.57
1963,2.16,1.50879704301075,1.57
1964,2.14,1.56052419354839,1.62
1965,2.19,1.57820416666667,1.64
1966,2.12,1.48608870967742,1.53
1967,2.1,1.50517638888889,1.57
1968,2.24,1.55020408163265,1.63
1969,NA,NA,NA
1970,NA,NA,NA
1971,NA,NA,NA
1972,NA,NA,NA
1973,NA,NA,NA
1974,NA,NA,NA
1975,NA,NA,NA
1976,NA,NA,NA
1977,NA,NA,NA
1978,NA,NA,NA
1979,NA,NA,NA
1980,NA,NA,NA
1981,2.4,1.54927419354839,1.63
1982,2.16,1.58541666666667,1.645
1983,2.23,1.58251344086022,1.655
1984,2.23,1.51087222222222,1.57
1985,2.04,1.47088709677419,1.56
1986,2.26,1.52538055555556,1.615
1987,2.26,1.57486021505376,1.66
1988,2.2,1.55838709677419,1.61
1989,2.34,1.58988472222222,1.65
1990,2.07,1.50853494623656,1.59
1991,2.25,1.54816666666667,1.63
1992,2.47,1.57495295698925,1.65
1993,2.41,1.59527688172043,1.64
1994,2.23,1.52054464285714,1.57
1995,2.28,1.52654569892473,1.57
1996,2.1,1.45184722222222,1.54
1997,2.19,1.47637903225806,1.55
1998,2.23,1.45880555555556,1.55
1999,2.17,1.51442204301075,1.59
2000,2.18,1.51475806451613,1.58
2001,2.14,1.55611111111111,1.62
2002,2.22,1.51184139784946,1.56
2003,2.21,1.50218055555556,1.595
2004,2.26,1.55619623655914,1.63
2005,2.19,1.58340053763441,1.67
2006,2.1,1.47096726190476,1.52
2007,2.17,1.44571639784946,1.5
2008,2.03,1.39115694444444,1.46
2009,2.05,1.43650537634409,1.545
2010,2.18,1.52830555555556,1.62
2011,2.16,1.55151209677419,1.63
2012,2.16,1.60028225806452,1.68
2013,2.15,1.55345833333333,1.62
2014,2.21,1.53994623655914,1.625
2015,2.23,1.52255555555556,1.59
2016,2.19,1.54132123655914,1.64
2017,NA,NA,NA
2018,2.34,1.59329310344828,1.66
2019,2.26,1.54998924731183,1.6
2020,2.09,1.46815277777778,1.55
2021,2.24,1.47290591397849,1.57
2022,2.26,1.49927777777778,1.59
2023,2.25,1.58635215053763,1.66
2024,2.24,1.59656720430108,1.65
2025,2.2,1.57818055555556,1.65
2026,2.37,1.56487231182796,1.63
2027,2.18,1.52118194444444,1.6
2028,2.36,1.56815053763441,1.66
2029,2.26,1.57669489247312,1.64
2030,2.36,1.51058035714286,1.56
2031,2.23,1.53106182795699,1.6
2032,2.24,1.49408333333333,1.56
2033,2.28,1.56188306451613,1.65
2034,2.3,1.59115277777778,1.69
2035,2.32,1.58297715053763,1.66
2036,2.18,1.62689275766017,1.69
2037,2.25,1.61387222222222,1.67
2038,2.29,1.58779435483871,1.67
2039,2.25,1.57160138888889,1.66
2040,2.36,1.61750537634409,1.7
2041,2.62,1.68454569892473,1.75
2042,2.57,1.64065327380952,1.695
2043,2.48,1.63157258064516,1.68
2044,2.14,1.50106944444444,1.59
2045,2.17,1.51340053763441,1.59
2046,2.24,1.56085972222222,1.65
2047,2.33,1.60133064516129,1.68
2048,2.19,1.59404704301075,1.66
2049,2.38,1.62640277777778,1.67
2050,2.19,1.59255510752688,1.67
2051,2.29,1.59313888888889,1.67
2052,2.38,1.64491666666667,1.74
2053,2.18,1.59280913978495,1.655
2054,2.23,1.54276785714286,1.61
2055,2.28,1.59348521505376,1.655
2056,2.18,1.52657222222222,1.605
2057,2.27,1.53734408602151,1.63
2058,2.28,1.58469444444444,1.67
2059,2.25,1.64069086021505,1.7
2060,2.21,1.61810483870968,1.68
2061,2.23,1.63139130434783,1.7
2062,2.21,1.60565860215054,1.66
2063,2.19,1.55881944444444,1.655
2064,2.48,1.60515725806452,1.68
2065,2.24,1.51834677419355,1.585
2066,2.4,1.58281609195402,1.635
2067,2.26,1.58123655913979,1.64
2068,2.2,1.48043055555556,1.53
2069,2.41,1.57788172043011,1.67
2070,2.34,1.58984861111111,1.67
2071,2.3,1.62506720430108,1.68
2072,2.33,1.6875,1.74
2073,2.3,1.67647222222222,1.74
2074,2.33,1.64413978494624,1.71
2075,2.42,1.63806944444444,1.71
2076,2.53,1.63225806451613,1.72
