"V1","V2","V3","V4"
2047,3.65,1.897594086,1.945
2048,3.56,1.903978495,1.925
2049,3.68,1.919638889,1.92
2050,3.7,2.003709677,2.09
2051,3.9,2.101833333,2.14
2052,4.12,2.246236559,2.28
2053,3.65,2.05155914,2.07
2054,3.73,1.989434524,2.015
2055,3.85,2.049946237,2.06
2056,3.75,2.024763889,2.06
2057,3.63,1.91547043,1.965
2058,3.66,1.958638889,1.98
2059,3.55,1.942056452,1.955
2060,3.52,1.965645161,2.015
2061,3.64,1.988083333,2.045
2062,3.71,1.983615591,2.015
2063,3.82,2.064958333,2.145
2064,3.98,2.118897849,2.16
2065,3.71,2.037540323,2.05
2066,3.82,2.145775862,2.145
2067,3.97,2.14141129,2.18
2068,3.85,2.055861111,2.12
2069,3.75,1.922204301,1.965
2070,3.78,1.961069444,1.985
2071,3.7,1.987150538,2.02
2072,3.56,1.977997312,2
2073,3.66,2.006611111,2.035
2074,3.73,1.970967742,2.02
2075,3.94,2.116930556,2.15
2076,4.26,2.188333333,2.2
2077,4.27,2.210322581,2.22
2078,3.61,2.10233631,2.18
2079,3.73,2.074462366,2.055
2080,3.45,1.798527778,1.825
2081,3.64,1.867016129,1.91
2082,3.65,1.906458333,1.935
2083,3.63,1.87688172,1.905
2084,3.43,1.89172043,1.905
2085,3.38,1.918,1.955
2086,3.57,1.95858871,1.99
2087,4.05,2.147097222,2.17
2088,NA,NA,NA
2089,NA,NA,NA
2090,NA,NA,NA
2091,3.89,2.169623656,2.185
2092,3.73,2.027958333,2.06
2093,3.68,1.916948925,1.95
2094,3.67,1.929708333,1.95
2095,3.7,1.96797043,2
2096,3.61,1.931491935,1.93
2097,3.49,1.934375,1.95
2098,3.49,1.884139785,1.9
2099,3.75,2.035888889,2.1
2100,3.9,2.100981183,2.115
2101,3.74,1.994959677,2.015
2102,3.75,2.117738095,2.13
2103,3.71,2.036895161,2.11
2104,3.7,1.879777778,1.915
2105,3.4,1.823602151,1.855
2106,3.42,1.851805556,1.88
2107,NA,NA,NA
2108,3.48,1.911939655,1.94
2109,3.59,1.917138889,1.945
2110,3.85,2.095174731,2.135
2111,4.09,2.173625,2.21
2112,3.93,2.040430108,2.025
2113,3.6,2.060887097,2.11
2114,3.83,2.112945402,2.1
2115,3.83,2.015013441,2.03
2116,3.86,1.99025,2
2117,3.7,1.93141129,1.95
2118,3.77,1.941013889,1.96
2119,3.67,1.999556452,2.005
2120,3.51,2.017768817,2
2121,3.87,2.022013889,2.02
2122,4.05,2.019422043,2.03
2123,3.84,2.022569444,2.055
2124,3.92,2.104650538,2.13
2125,3.75,2.06405914,2.08
2126,3.61,2.076607143,2.085
2127,4.02,2.001612903,2.01
2128,3.53,1.839486111,1.87
2129,3.85,1.970806452,2
2130,3.75,1.908638889,1.92
2131,3.64,1.893427419,1.915
2132,3.57,2.00405914,2.015
2133,3.58,2.047527778,2.05
2134,3.65,2.035833333,2.055
2135,4.1,2.135597222,2.16
2136,4.28,2.262473118,2.28
2137,4.24,2.301182796,2.32
2138,4.38,2.241294643,2.24
2139,3.83,2.066989247,2.065
2140,3.74,2.023125,2.05
2141,3.7,1.905819892,1.96
2142,3.72,1.930347222,1.945
2143,3.63,1.912379032,1.94
2144,3.6,1.975900538,2.005
2145,3.47,2.057125,2.08
2146,3.55,1.971276882,1.995
2147,3.75,1.95325,2.03
2148,3.72,1.960026882,1.99
2149,3.67,2.016545699,2.05
2150,4.12,2.189717262,2.195
2151,3.76,2.028696237,2.045
2152,3.59,1.957013889,1.98
2153,3.55,1.89686828,1.935
2154,3.45,1.853569444,1.88
2155,3.84,1.940577957,1.94
2156,3.54,1.931129032,1.94
2157,3.8,2.017111111,2.03
2158,3.76,2.075698925,2.13
2159,3.93,2.086888889,2.1
2160,4.08,2.198830645,2.205
2161,3.89,2.155510753,2.21
2162,4.14,2.195172414,2.165
2163,3.68,2.058104839,2.05
2164,3.74,1.996111111,2.03
2165,3.67,1.929610215,1.98
2166,3.63,1.939041667,1.99
2167,3.5,1.894395161,1.92
2168,3.52,1.931572581,1.95
2169,3.7,1.982569444,1.995
2170,3.85,1.983467742,2.02
2171,3.98,2.106194444,2.14
2172,4.09,2.197177419,2.23
2173,4.06,2.201639785,2.215
2174,3.84,2.12827381,2.14
2175,3.59,2.049099462,2.09
2176,3.6,1.975319444,2.025
2177,3.79,1.966330645,2.01
2178,3.83,1.961930556,2.02
2179,3.63,1.924556452,1.955
2180,3.51,1.961895161,1.995
2181,3.49,1.983763889,1.99
2182,3.66,2.083763441,2.15
2183,4.37,2.235375,2.25
2184,4.16,2.242486559,2.28
2185,3.91,2.095416667,2.13
2186,3.7,2.151488095,2.22
2187,3.74,2.160362903,2.18
2188,3.65,2.108458333,2.18
2189,3.62,1.883521505,1.92
2190,3.79,1.978069444,2.005
2191,3.74,1.975967742,1.975
2192,3.67,2.001532258,2.025
2193,3.5,2.042847222,2.085
2194,3.7,2.152056452,2.26
2195,4.31,2.273027778,2.31
2196,4.3,2.315080645,2.38
2197,4.37,2.399637097,2.425
2198,4.12,2.432678571,2.48
2199,3.97,2.340712366,2.38
2200,3.66,2.055166667,2.07
2201,3.56,2.014717742,2.09
2202,3.77,2.027916667,2.065
2203,3.87,2.067325269,2.09
2204,3.82,2.043037634,2.08
2205,3.66,2.032541667,2.055
2206,3.66,2.043790323,2.09
2207,4.06,2.373569444,2.445
2208,3.75,2.130376344,2.19
2209,3.76,2.037110215,2.065
2210,3.85,2.154985632,2.205
2211,3.88,2.118534946,2.16
2212,3.91,2.021277778,2.06
2213,3.66,1.984973118,2.035
2214,3.61,1.946430556,1.99
2215,3.66,1.932755376,1.96
2216,3.76,1.983870968,1.99
2217,3.62,2.035263889,2.08
2218,3.82,2.098346774,2.14
2219,4.08,2.282152778,2.37
2220,3.76,2.090846774,2.14
2221,3.75,2.016155914,2.025
2222,3.69,1.943095238,1.97
2223,3.52,1.933333333,1.96
2224,3.7,1.943305556,1.97
2225,3.77,1.901102151,1.945
2226,3.82,1.923652778,1.97
2227,3.66,1.947043011,1.975
2228,3.6,1.945255376,1.965
2229,3.69,1.999138889,2.05
2230,3.69,2.028602151,2.075
2231,3.85,1.990541667,2.04
2232,3.78,1.986760753,2.05
2233,4.1,2.217258065,2.27
2234,3.79,2.192767857,2.24
2235,3.79,2.145497312,2.145
2236,3.82,1.933722222,2
2237,3.9,1.96,2.01
2238,3.73,1.957055556,1.99
2239,3.7,1.945040323,1.99
2240,3.56,1.964395161,2.03
2241,3.4,1.984388889,2.07
2242,3.46,1.985524194,2.075
2243,3.77,2.060819444,2.15
2244,4.19,2.174233871,2.23
2245,4.2,2.159731183,2.18
2246,3.89,2.173854167,2.18
2247,3.79,2.143037634,2.215
2248,3.6,1.932916667,1.995
2249,3.83,1.986303763,2.04
2250,3.69,1.914694444,1.945
2251,3.76,2.001061828,2.04
2252,3.79,1.938077957,1.945
