"V1","V2","V3","V4"
1981,2.38,1.74548387096774,1.82
1982,2.34,1.70720238095238,1.78
1983,2.32,1.69866935483871,1.75
1984,NA,NA,NA
1985,2.28,1.65733703190014,1.74
1986,2.45,1.74908333333333,1.83
1987,2.5,1.82836021505376,1.92
1988,2.47,1.85212365591398,1.91
1989,2.46,1.87947222222222,1.94
1990,2.36,1.80461021505376,1.88
1991,NA,NA,NA
1992,NA,NA,NA
1993,2.43,1.73827956989247,1.79
1994,2.35,1.65449404761905,1.72
1995,2.27,1.67413978494624,1.72
1996,2.2,1.63363888888889,1.72
1997,2.28,1.66551816958277,1.74
1998,2.4,1.69793055555556,1.785
1999,2.4,1.77731182795699,1.855
2000,2.53,1.87650537634409,1.94
2001,2.48,1.88538888888889,1.94
2002,2.56,1.83793914246196,1.88
2003,2.5,1.78330555555556,1.87
2004,2.55,1.77451612903226,1.85
2005,2.36,1.75639784946237,1.84
2006,2.24,1.629375,1.69
2007,2.3,1.6030376344086,1.66
2008,2.22,1.575,1.64
2009,2.28,1.67221774193548,1.77
2010,2.39,1.79109722222222,1.88
2011,2.41,1.84377688172043,1.92
2012,2.48,1.90676075268817,1.985
2013,2.49,1.902125,1.965
2014,2.5,1.84415322580645,1.91
2015,2.48,1.74318055555556,1.82
2016,2.39,1.74322580645161,1.84
2017,2.43,1.7860275862069,1.88
2018,2.37,1.66323275862069,1.725
2019,2.43,1.65564516129032,1.7
2020,NA,NA,NA
2021,2.48,1.66524193548387,1.75
2022,2.41,1.73795833333333,1.84
2023,2.48,1.8323252688172,1.9
2024,2.61,1.9185752688172,1.98
2025,2.5,1.87884722222222,1.94
2026,2.71,1.86092741935484,1.92
2027,2.46,1.83551388888889,1.92
2028,2.64,1.85014784946237,1.94
2029,2.46,1.79177419354839,1.87
2030,2.4,1.68029761904762,1.74
2031,2.45,1.68067204301075,1.74
2032,2.5,1.69833333333333,1.765
2033,2.46,1.79176075268817,1.9
2034,2.54,1.851125,1.95
2035,2.59,1.85862903225806,1.94
2036,NA,NA,NA
2037,2.56,1.928,1.98
2038,2.58,1.89031335149864,1.97
2039,2.57,1.88068055555556,1.98
2040,2.59,1.86358870967742,1.95
2041,2.65,1.8629435483871,1.93
2042,2.48,1.80958333333333,1.86
2043,2.45,1.75704301075269,1.81
2044,2.34,1.66608333333333,1.74
2045,2.32,1.73306451612903,1.81
2046,2.49,1.80154166666667,1.89
2047,2.54,1.86724462365591,1.95
2048,2.47,1.88810483870968,1.945
2049,2.52,1.92238888888889,1.97
2050,2.64,1.91099462365591,1.98
2051,2.56,1.89613888888889,1.97
2052,2.58,1.84737903225806,1.94
2053,2.44,1.81385752688172,1.88
2054,2.33,1.73302083333333,1.8
2055,NA,NA,NA
2056,2.33,1.69640277777778,1.765
2057,2.43,1.75344086021505,1.84
2058,2.46,1.84894444444444,1.935
2059,2.58,1.93356182795699,1.99
2060,2.55,1.94184139784946,2
2061,2.6,1.96420833333333,2.04
2062,2.58,1.92881720430108,1.99
2063,2.51,1.81308333333333,1.88
2064,2.65,1.81842741935484,1.91
2065,2.52,1.75216397849462,1.815
2066,2.48,1.7564224137931,1.79
2067,2.49,1.76506720430108,1.8
2068,2.39,1.69804166666667,1.75
2069,2.56,1.81215053763441,1.89
2070,2.65,1.86651388888889,1.95
2071,2.54,1.93897849462366,2.01
2072,2.66,2.0105376344086,2.07
2073,2.65,1.99830555555556,2.05
2074,2.62,1.98498655913978,2.05
2075,2.68,1.94698611111111,2
2076,2.53,1.88012096774194,1.97
2077,2.49,1.79900537634409,1.87
2078,2.45,1.7921875,1.84
2079,2.42,1.79076612903226,1.835
2080,2.36,1.74202777777778,1.8
2081,2.45,1.69548648648649,1.77
2082,2.08,1.49615277777778,1.58
2083,2.13,1.53310483870968,1.61
2084,2.2,1.60314516129032,1.64
2085,2.27,1.62490277777778,1.67
2086,2.28,1.57051075268817,1.64
2087,2.25,1.593625,1.67
2088,2.23,1.5825,1.64
2089,2.27,1.56274193548387,1.615
2090,2.3,1.47058035714286,1.51
2091,2.02,1.37931451612903,1.42
2092,2.06,1.411625,1.475
2093,2.34,1.45217741935484,1.5
2094,2.54,1.87994444444444,1.94
2095,2.52,1.90741935483871,1.98
2096,2.6,1.9652688172043,2
2097,2.51,1.93402777777778,1.97
2098,2.57,1.95068548387097,1.985
2099,2.56,1.86665277777778,1.93
2100,2.62,1.84040322580645,1.91
2101,2.49,1.82467741935484,1.87
2102,2.42,1.80995535714286,1.84
2103,2.46,1.76083333333333,1.8
2104,2.36,1.75044444444444,1.82
2105,2.4,1.78645161290323,1.86
2106,2.53,1.872125,1.93
2107,2.52,1.89970430107527,1.95
2108,2.6,1.95103494623656,1.99
2109,2.71,2.01027777777778,2.06
2110,2.68,1.91448924731183,1.95
2111,2.61,1.86056944444444,1.92
2112,2.56,1.87698924731183,1.94
2113,2.54,1.88346774193548,1.94
2114,2.46,1.80586206896552,1.835
2115,2.38,1.73784946236559,1.78
2116,2.38,1.73688888888889,1.78
2117,2.43,1.81591397849462,1.87
2118,2.48,1.87805555555556,1.94
2119,2.48,1.88778225806452,1.93
2120,2.58,1.95313172043011,1.985
2121,2.67,1.96663888888889,2.01
2122,2.69,1.97108870967742,2.03
2123,2.59,1.86943055555556,1.92
2124,2.52,1.88465053763441,1.93
2125,2.43,1.82104838709677,1.88
2126,2.41,1.80693452380952,1.84
2127,2.32,1.7226747311828,1.76
2128,2.31,1.74252777777778,1.79
2129,2.52,1.79990591397849,1.84
2130,2.48,1.83983333333333,1.91
2131,2.55,1.91663978494624,1.97
2132,2.54,1.97646505376344,2.03
2133,2.59,1.98498611111111,2.02
2134,2.5,1.87127688172043,1.92
2135,2.45,1.85297222222222,1.9
2136,2.52,1.89697580645161,1.96
2137,2.58,1.86768817204301,1.91
2138,2.43,1.79462797619048,1.84
2139,2.54,1.77379032258065,1.81
2140,2.43,1.77202777777778,1.82
2141,2.4,1.77745967741935,1.82
2142,2.53,1.86316666666667,1.92
2143,2.52,1.91943548387097,1.97
2144,2.57,1.98807795698925,2.03
2145,2.68,1.97309722222222,2.02
2146,2.57,1.95495967741935,2
2147,2.57,1.88490277777778,1.93
2148,2.53,1.83479838709677,1.88
2149,2.46,1.81573924731183,1.87
2150,2.54,1.81360119047619,1.84
2151,2.7,1.8159811827957,1.84
