"V1","V2","V3","V4"
1945,2.693,1.382662634,1.34
1946,2.52,1.254822917,1.24
1947,2.24,1.229024194,1.23
1948,2.37,1.254126488,1.26
1949,2.26,1.239633065,1.27
1950,2.33,1.242279167,1.23
1951,2.38,1.283897849,1.25
1952,2.65,1.284854839,1.25
1953,NA,NA,NA
1954,2.638,1.539067204,1.55
1955,2.51,1.511227778,1.51
1956,2.53,1.330944892,1.33
1957,2.51,1.234998656,1.215
1958,NA,NA,NA
1959,2.38,1.193733871,1.16
1960,2.36,1.173494444,1.175
1961,2.27,1.144075269,1.18
1962,2.36,1.290852778,1.28
1963,2.79,1.218965054,1.17
1964,2.38,1.226357527,1.19
1965,2.81,1.360645833,1.36
1966,2.39,1.483709677,1.5
1967,2.67,1.391356944,1.41
1968,2.68,1.352459677,1.33
1969,2.5,1.303346264,1.26
1970,2.54,1.396882184,1.37
1971,2.2,1.265022849,1.29
1972,2.17,1.188783333,1.21
1973,2.9,1.373735215,1.36
1974,2.43,1.262718056,1.24
1975,2.44,1.22908871,1.2
1976,2.87,1.360706989,1.32
1977,3.12,1.545080357,1.525
1978,2.78,1.601603495,1.605
1979,2.72,1.575372222,1.58
1980,2.64,1.422615591,1.39
1981,2.55,1.35644086,1.32
1982,2.51,1.326995536,1.31
1983,2.41,1.331513441,1.32
1984,2.31,1.292075,1.32
1985,2.51,1.263008065,1.275
1986,2.56,1.340743056,1.32
1987,2.93,1.322711022,1.28
1988,2.39,1.228716398,1.19
1989,2.54,1.498633333,1.49
1990,2.42,1.427033602,1.44
1991,2.9,1.470268056,1.48
1992,2.59,1.382325269,1.36
1993,2.44,1.245205645,1.22
1994,2.63,1.281366071,1.25
1995,2.44,1.298858871,1.28
1996,2.331,1.320701389,1.345
1997,2.64,1.396294355,1.405
1998,2.47,1.261866667,1.23
1999,2.54,1.279135753,1.23
2000,2.46,1.28297043,1.26
2001,2.83,1.514354167,1.51
2002,2.43,1.420291667,1.43
2003,2.59,1.399098611,1.39
2004,2.73,1.388775538,1.36
2005,2.55,1.327227151,1.3
2006,2.56,1.317241071,1.28
2007,2.28,1.218438172,1.205
2008,2.27,1.273077778,1.28
2009,2.38,1.20996371,1.21
2010,2.41,1.285952778,1.27
2011,2.36,1.245163978,1.2
2012,2.77,1.398802419,1.36
2013,NA,NA,NA
2014,NA,NA,NA
2015,2.82,1.456947222,1.47
2016,2.68,1.326157258,1.29
2017,2.53,1.290947581,1.22
2018,2.38,1.340856322,1.305
2019,2.2,1.229573925,1.23
2020,2.24,1.197244444,1.185
2021,2.4,1.161162693,1.15
2022,2.47,1.203938889,1.1595
2023,2.76,1.254608871,1.19
2024,2.79,1.383384409,1.34
2025,2.77,1.518488889,1.505
2026,2.52,1.471680108,1.48
2027,2.7,1.384288889,1.39
2028,2.7,1.315372312,1.26
