"V1","V2","V3","V4"
1849,9.1,4.7420564516129,4.705
1850,9.25,4.68543154761905,4.625
1851,9.87,4.76985215053763,4.7
1852,9.38,4.57065277777778,4.505
1853,9.5,4.69655913978495,4.65
1854,9.05,4.72288888888889,4.7
1855,9.05,4.72159946236559,4.7
1856,9.31,4.78700268817204,4.85
1857,9.51,4.77395833333333,4.8
1858,9.65,4.71565860215054,4.745
1859,9.55,4.74755555555556,4.725
1860,9.25,4.67717741935484,4.675
1861,9.58,4.73869448183042,4.73
1862,NA,NA,NA
1863,NA,NA,NA
1864,NA,NA,NA
1865,NA,NA,NA
1866,NA,NA,NA
1867,NA,NA,NA
1868,NA,NA,NA
1869,NA,NA,NA
1870,NA,NA,NA
1871,NA,NA,NA
1872,NA,NA,NA
1873,9.68,4.83693548387097,4.82
1874,9.41,4.56797413793103,4.515
1875,NA,NA,NA
1876,9.41,4.68476388888889,4.63
1877,9.15,4.60022849462366,4.57
1878,9.25,4.63722222222222,4.61
1879,9.39,4.72993279569892,4.715
1880,9.57,4.88560483870968,4.915
1881,9.8,4.83951388888889,4.85
1882,9.76,4.84248655913979,4.84
1883,9.22,4.77761111111111,4.71
1884,NA,NA,NA
1885,9.53,4.7644623655914,4.76
1886,9.99,4.95651785714286,4.905
1887,NA,NA,NA
1888,NA,NA,NA
1889,NA,NA,NA
1890,9.34,4.82045833333333,4.77
1891,9.61,4.85840053763441,4.85
1892,9.89,4.89440860215054,4.84
1893,NA,NA,NA
1894,NA,NA,NA
1895,NA,NA,NA
1896,9.46,4.9104435483871,4.86
1897,9.52,4.85918010752688,4.765
1898,9.93,4.9074255952381,4.915
1899,9.99,4.78365591397849,4.81
1900,9.99,4.62643055555556,4.56
1901,9.49,4.68189516129032,4.64
1902,9.28,4.72556944444444,4.725
1903,NA,NA,NA
1904,9.71,4.87733870967742,4.86
1905,9.89,4.89336111111111,4.885
1906,9.9,4.8540188172043,4.81
1907,9.61,4.73491666666667,4.72
1908,9.73,4.98055107526882,4.985
1909,9.56,4.98701612903226,4.985
1910,9.51,4.59285714285714,4.56
1911,9.83,4.83127688172043,4.81
1912,9.73,4.84897222222222,4.83
1913,9.48,4.71602150537634,4.66
1914,9.42,4.736,4.705
1915,9.33,4.7692876344086,4.785
1916,9.31,4.77780913978495,4.785
1917,9.34,4.79852777777778,4.74
1918,9.71,4.94444892473118,4.92
1919,9.78,4.93806944444444,4.915
1920,9.99,5.03528225806452,5.05
1921,9.67,4.82393817204301,4.785
1922,9.73,4.85508620689655,4.84
1923,9.57,4.79465053763441,4.785
1924,9.63,4.72918055555556,4.705
1925,9.57,4.72673387096774,4.685
1926,9.55,4.76119444444444,4.745
1927,9.72,4.83165322580645,4.815
1928,9.63,4.86528225806452,4.86
1929,9.53,4.74961111111111,4.765
1930,9.68,4.92786290322581,4.935
1931,9.61,5.004625,4.97
1932,9.68,4.82260752688172,4.82
1933,9.43,4.73467741935484,4.705
1934,9.66,4.76410714285714,4.725
1935,9.88,4.64111559139785,4.565
1936,9.5,4.75869444444444,4.77
1937,9.3,4.67856182795699,4.645
1938,NA,NA,NA
1939,9.57,4.72532258064516,4.685
1940,9.67,4.72116935483871,4.7
1941,NA,NA,NA
1942,9.91,4.93860215053763,4.94
1943,9.31,4.80144444444444,4.755
1944,9.42,4.80802419354839,4.845
1945,9.57,4.83165322580645,4.835
1946,9.87,4.66325892857143,4.585
1947,9.98,4.80055107526882,4.77
1948,9.99,4.68948611111111,4.57
1949,NA,NA,NA
1950,NA,NA,NA
1951,9.51,4.82817204301075,4.715
1952,9.8,4.85986559139785,4.83
1953,9.96,4.948125,4.905
1954,9.93,4.88599462365591,4.835
1955,9.79,4.912,4.89
1956,9.7,4.8182123655914,4.755
1957,9.16,4.68706989247312,4.575
1958,9.4,4.75239583333333,4.7
1959,9.95,4.79768817204301,4.765
1960,9.68,4.76902777777778,4.7
1961,9.55,4.74447580645161,4.75
1962,9.27,4.84386111111111,4.81
1963,9.1,4.79612903225806,4.775
1964,9.25,4.89204301075269,4.9
1965,9.6,4.83515277777778,4.825
1966,9.86,4.84172043010753,4.8
1967,9.99,5.09395833333333,4.975
1968,9.6,4.8116935483871,4.8
1969,9.45,4.70067204301075,4.69
1970,9.49,4.78630747126437,4.74
1971,9.44,4.76314516129032,4.68
1972,9.68,4.73659722222222,4.675
1973,9.55,4.75540322580645,4.72
1974,9.39,4.79331944444444,4.775
1975,9.25,4.73944892473118,4.74
1976,9.48,4.79258064516129,4.78
1977,9.42,4.81655555555556,4.825
1978,9.85,4.82880376344086,4.835
1979,9.39,4.75365277777778,4.73
1980,NA,NA,NA
1981,NA,NA,NA
1982,9.36,4.5478125,4.485
1983,9.72,4.75608870967742,4.73
1984,9.6,4.83776388888889,4.83
1985,9.44,4.82356182795699,4.78
1986,9.31,4.84743055555556,4.865
1987,9.7,4.91831989247312,4.93
1988,9.79,4.87783602150538,4.865
1989,9.92,4.95370833333333,4.945
1990,9.57,4.88626344086022,4.845
1991,9.52,4.97086111111111,4.975
1992,NA,NA,NA
1993,9.33,4.9322311827957,4.925
1994,9.99,5.08168154761905,5.09
1995,9.9,4.86971774193548,4.855
1996,9.98,4.88515277777778,4.845
1997,9.63,4.78147849462366,4.705
1998,9.24,4.84656944444444,4.85
1999,9.3,4.84709677419355,4.825
2000,9.61,4.84622311827957,4.83
2001,9.94,4.82547222222222,4.745
2002,9.96,4.91545698924731,4.905
2003,9.58,4.85806944444444,4.8
2004,9.4,4.90985215053763,4.91
2005,NA,NA,NA
2006,9.94,4.82572916666667,4.89
2007,NA,NA,NA
2008,NA,NA,NA
2009,9.8,4.99235215053763,4.97
2010,9.22,4.84098611111111,4.785
2011,8.89,4.84245967741936,4.78
2012,9.51,4.91829301075269,4.925
2013,9.86,4.93425,4.86
2014,9.99,5.04834677419355,5.04
2015,NA,NA,NA
2016,NA,NA,NA
2017,NA,NA,NA
2018,9.56,4.84311781609195,4.835
2019,9.9,4.81697580645161,4.765
2020,9.8,4.79645833333333,4.79
2021,9.46,4.76927419354839,4.8
2022,9.18,4.77677777777778,4.79
2023,9.33,4.75836021505376,4.745
2024,9.26,4.83274193548387,4.835
2025,9.75,4.90388888888889,4.895
2026,9.58,4.84412634408602,4.885
2027,9.49,4.84430555555556,4.765
2028,9.47,4.8525,4.84
2029,9.44,4.83998655913978,4.79
2030,9.43,4.77590773809524,4.725
2031,9.32,4.65909946236559,4.605
2032,9.24,4.80686111111111,4.84
2033,9.61,4.92154569892473,4.935
2034,9.3,4.89575,4.93
2035,9.52,4.81939516129032,4.835
2036,9.75,4.88868279569892,4.875
2037,9.63,4.882875,4.82
2038,9.45,4.93688172043011,4.81
2039,9.88,5.09002777777778,5.03
2040,9.15,4.85037634408602,4.91
2041,9.74,5.00475806451613,5.035
2042,9.99,5.00270833333333,5
2043,9.78,4.86192204301075,4.835
2044,9.9,4.93605555555556,4.915
2045,9.28,4.85362903225806,4.85
2046,9.16,4.85309722222222,4.825
2047,9.54,4.89817204301075,4.83
2048,9.81,4.88377688172043,4.845
2049,9.92,4.91606944444444,4.93
2050,9.53,4.89853494623656,4.875
2051,9.44,5.00661111111111,5.02
2052,9.24,4.76245967741936,4.705
2053,NA,NA,NA
2054,9.73,4.79254464285714,4.795
2055,9.8,4.78022849462366,4.74
2056,9.56,4.75494444444444,4.735
2057,9.3,4.83100806451613,4.785
2058,8.86,4.83133333333333,4.81
2059,9.18,4.77227150537634,4.75
2060,9.56,4.8426747311828,4.895
2061,9.57,4.766875,4.765
2062,9.64,4.78009408602151,4.75
2063,9.49,4.80440277777778,4.745
2064,9.13,4.62739247311828,4.55
2065,9.49,4.74400537634409,4.68
2066,9.44,4.75449712643678,4.76
2067,9.8,4.70192204301075,4.67
2068,9.87,4.80213888888889,4.785
2069,9.53,4.88872311827957,4.87
2070,9.32,4.88366666666667,4.87
2071,9.21,4.83931451612903,4.775
2072,9.46,4.81225806451613,4.755
2073,9.61,4.78769444444444,4.765
2074,9.78,4.81557795698925,4.75
2075,9.69,4.92588888888889,4.945
2076,9.29,4.90134408602151,4.92
2077,9.61,4.75516129032258,4.675
2078,9.44,4.79544642857143,4.78
2079,9.33,4.65251344086021,4.6
2080,9.67,4.71473611111111,4.645
2081,9.54,4.75600806451613,4.69
2082,9.28,4.74190277777778,4.715
2083,9.41,4.84633064516129,4.85
2084,9.53,4.76961021505376,4.7
2085,9.44,4.8865,4.875
2086,9.6,4.88716397849462,4.87
2087,9.81,4.97298611111111,4.91
2088,9.61,4.92954301075269,4.955
2089,9.73,4.98666666666667,5
2090,9.99,4.96248511904762,4.975
2091,9.9,4.85079301075269,4.83
2092,9.51,4.794,4.725
2093,9.27,4.86008064516129,4.835
2094,9.38,4.87875,4.875
2095,9.61,4.88411290322581,4.85
2096,9.67,4.84352150537634,4.815
2097,9.73,4.97005555555556,4.955
2098,9.6,4.95334677419355,4.905
2099,NA,NA,NA
2100,NA,NA,NA
2101,NA,NA,NA
2102,9.84,4.8347619047619,4.8
2103,9.99,4.89827956989247,4.855
2104,9.51,4.82551388888889,4.755
2105,9.26,4.78908602150538,4.69
2106,9.11,4.82916666666667,4.76
2107,9.42,4.86450268817204,4.84
2108,9.79,4.87263440860215,4.845
2109,9.86,4.94715277777778,4.915
2110,9.97,4.93986559139785,4.93
2111,9.7,4.94905555555556,4.91
2112,9.47,4.83141129032258,4.705
2113,9.72,4.89680107526882,4.87
2114,9.82,4.84936781609195,4.865
2115,9.99,4.79951612903226,4.825
2116,9.8,4.75755555555556,4.675
2117,9.77,4.87459677419355,4.865
2118,9.39,4.80644444444444,4.825
