"V1","V2","V3","V4"
2047,2.77,1.39195402298851,1.38
2048,2.71,1.37575268817204,1.39
2049,2.81,1.43447222222222,1.445
2050,2.92,1.52680107526882,1.55
2051,2.77,1.49301388888889,1.525
2052,2.84,1.59852150537634,1.63
2053,2.92,1.545125,1.545
2054,2.65,1.40577380952381,1.44
2055,2.75,1.3467876344086,1.37
2056,2.64,1.29322222222222,1.295
2057,2.59,1.30470430107527,1.33
2058,2.45,1.29808333333333,1.29
2059,2.76,1.37567204301075,1.385
2060,NA,NA,NA
2061,NA,NA,NA
2062,NA,NA,NA
2063,NA,NA,NA
2064,2.91,1.6079334257975,1.62
2065,2.82,1.40404569892473,1.41
2066,2.88,1.38294540229885,1.41
2067,3.07,1.41603494623656,1.4
2068,2.74,1.33356944444444,1.365
2069,2.51,1.24213709677419,1.25
2070,NA,NA,NA
2071,2.64,1.39177419354839,1.42
2072,2.74,1.4420564516129,1.49
2073,2.91,1.496625,1.51
2074,2.93,1.56280913978495,1.57
2075,2.88,1.56854166666667,1.56
2076,3.24,1.72934139784946,1.735
2077,2.91,1.5726747311828,1.58
2078,3.05,1.53799107142857,1.53
2079,2.71,1.46626344086022,1.46
2080,2.71,1.30759722222222,1.31
2081,2.78,1.2933064516129,1.3
2082,2.77,1.40238888888889,1.43
2083,2.76,1.36974462365591,1.395
2084,NA,NA,NA
2085,2.65,1.47687230989957,1.51
2086,2.88,1.52102150537634,1.53
2087,2.97,1.59566666666667,1.585
2088,3.16,1.46521505376344,1.46
2089,2.83,1.5307123655914,1.555
2090,2.78,1.39577380952381,1.405
2091,2.65,1.2690188172043,1.28
2092,2.8,1.29708333333333,1.315
2093,2.52,1.19072580645161,1.205
2094,2.7,1.29290277777778,1.3
2095,2.85,1.38795698924731,1.38
2096,2.69,1.33904569892473,1.345
2097,2.98,1.43827777777778,1.445
2098,2.64,1.25353494623656,1.27
2099,2.58,1.322,1.345
2100,2.78,1.55844086021505,1.58
2101,3.35,1.72644604316547,1.76
2102,3.21,1.61526964560863,1.64
2103,2.92,1.43652294853964,1.47
2104,NA,NA,NA
2105,2.6,1.30971774193548,1.3
2106,2.72,1.38386111111111,1.39
2107,2.85,1.46461021505376,1.47
2108,2.72,1.39172043010753,1.405
2109,3.06,1.61423611111111,1.64
2110,3.01,1.49130376344086,1.51
2111,3.05,1.56290277777778,1.57
2112,3.25,1.6816935483871,1.695
2113,3.12,1.53650537634409,1.53
2114,3.08,1.50566091954023,1.53
2115,2.8,1.36256720430108,1.36
2116,2.87,1.35966666666667,1.385
2117,2.71,1.24325268817204,1.25
2118,2.65,1.32566666666667,1.36
2119,2.71,1.34389784946237,1.365
2120,2.88,1.40143817204301,1.42
2121,2.97,1.42822222222222,1.44
2122,2.78,1.33836021505376,1.34
2123,3.15,1.49506944444444,1.49
2124,NA,NA,NA
2125,3.02,1.355,1.36
2126,2.7,1.31769345238095,1.33
2127,2.85,1.36434139784946,1.345
2128,2.62,1.284125,1.315
2129,NA,NA,NA
2130,2.69,1.30498611111111,1.335
2131,2.71,1.27299731182796,1.29
2132,2.86,1.26771505376344,1.28
2133,2.69,1.42108333333333,1.45
2134,2.83,1.41994623655914,1.425
2135,NA,NA,NA
2136,3.08,1.46222381635581,1.47
2137,3.38,1.48081989247312,1.47
2138,2.59,1.2383630952381,1.255
2139,2.84,1.33002688172043,1.335
2140,2.56,1.21270833333333,1.19
2141,2.65,1.21877688172043,1.23
2142,2.67,1.2825,1.28
2143,2.66,1.25704301075269,1.285
2144,2.7,1.29333333333333,1.29
2145,3.02,1.37005555555556,1.385
2146,2.87,1.49725806451613,1.52
2147,3.19,1.66102777777778,1.65
2148,2.79,1.3751747311828,1.4
2149,NA,NA,NA
2150,3.06,1.36292758089368,1.37
2151,2.99,1.31899193548387,1.375
2152,NA,NA,NA
2153,2.7,1.24930107526882,1.23
2154,2.63,1.30797222222222,1.295
2155,2.66,1.31663978494624,1.33
2156,2.68,1.31126344086022,1.335
2157,2.82,1.48679166666667,1.5
2158,2.88,1.38639784946237,1.4
2159,3.05,1.52709821428571,1.53
2160,3.2,1.61412634408602,1.62
2161,2.85,1.40569892473118,1.42
2162,2.94,1.41895114942529,1.41
2163,2.68,1.23533602150538,1.255
2164,2.82,1.31933333333333,1.34
2165,2.59,1.25652294853964,1.28
2166,NA,NA,NA
2167,2.69,1.3742876344086,1.38
2168,2.81,1.4130376344086,1.44
2169,2.87,1.51529166666667,1.525
2170,2.87,1.54604838709677,1.565
2171,2.93,1.526375,1.54
2172,2.86,1.54650537634409,1.58
2173,2.81,1.51134408602151,1.53
2174,3.18,1.45947916666667,1.45
2175,2.65,1.32485215053763,1.36
2176,2.87,1.34127777777778,1.35
2177,2.62,1.2365188172043,1.25
2178,2.78,1.35091666666667,1.33
2179,2.78,1.36599462365591,1.375
2180,2.76,1.38010752688172,1.38
2181,2.67,1.42959722222222,1.455
2182,NA,NA,NA
2183,3.01,1.59309722222222,1.62
2184,NA,NA,NA
2185,NA,NA,NA
2186,2.98,1.53016369047619,1.555
2187,2.86,1.39110215053763,1.375
2188,2.86,1.40327777777778,1.42
2189,2.67,1.28422043010753,1.3
2190,NA,NA,NA
2191,2.88,1.40293010752688,1.4
2192,2.77,1.39985215053763,1.43
2193,2.98,1.52256944444444,1.51
2194,2.98,1.42711021505376,1.475
2195,2.99,1.66184722222222,1.67
2196,3.1,1.65561827956989,1.66
2197,NA,NA,NA
2198,2.83,1.49022321428571,1.485
2199,2.7,1.45483870967742,1.5
2200,2.48,1.25230555555556,1.26
2201,2.44,1.25936827956989,1.285
2202,2.78,1.37689655172414,1.36
2203,2.71,1.41157258064516,1.405
2204,NA,NA,NA
2205,2.91,1.47613888888889,1.475
2206,3.03,1.63706989247312,1.65
2207,3.1,1.64913888888889,1.655
2208,NA,NA,NA
2209,2.94,1.52201612903226,1.54
2210,2.89,1.43886494252874,1.465
2211,NA,NA,NA
2212,2.84,1.29727777777778,1.315
2213,2.67,1.27438172043011,1.28
2214,2.49,1.33004166666667,1.36
2215,2.67,1.36443548387097,1.37
2216,2.77,1.34743279569892,1.38
2217,2.69,1.34719444444444,1.365
2218,2.63,1.42811827956989,1.48
2219,2.65,1.38652777777778,1.43
2220,2.82,1.46378196500673,1.48
2221,NA,NA,NA
2222,NA,NA,NA
2223,NA,NA,NA
2224,NA,NA,NA
2225,NA,NA,NA
2226,NA,NA,NA
2227,NA,NA,NA
2228,NA,NA,NA
2229,NA,NA,NA
2230,NA,NA,NA
2231,NA,NA,NA
2232,NA,NA,NA
2233,NA,NA,NA
2234,2.67,1.33066964285714,1.34
2235,2.91,1.49179597701149,1.485
2236,2.59,1.25327586206897,1.25
2237,2.82,1.3617107093185,1.37
2238,NA,NA,NA
2239,2.75,1.4439247311828,1.47
2240,NA,NA,NA
2241,NA,NA,NA
2242,3.03,1.69157258064516,1.7
2243,3.01,1.67900862068966,1.68
2244,3.21,1.56322580645161,1.53
2245,3.07,1.44700268817204,1.45
2246,2.99,1.4308630952381,1.46
2247,2.64,1.24366935483871,1.24
2248,2.82,1.32868055555556,1.33
2249,2.57,1.28469086021505,1.295
2250,NA,NA,NA
2251,2.7,1.34483870967742,1.38
2252,NA,NA,NA
2253,NA,NA,NA
2254,3.07,1.53552419354839,1.61
2255,2.84,1.45555555555556,1.45
2256,2.97,1.58381720430108,1.6
2257,NA,NA,NA
2258,NA,NA,NA
2259,NA,NA,NA
2260,NA,NA,NA
2261,NA,NA,NA
2262,2.615,1.3693417721519,1.36
2263,NA,NA,NA
2264,2.895,1.38233064516129,1.3655
2265,3.046,1.50553382352941,1.522
2266,NA,NA,NA
2267,2.972,1.67410416666667,1.6645
2268,NA,NA,NA
2269,NA,NA,NA
2270,3.212,1.76416036308623,1.782
2271,3.069,1.53620698924731,1.542
2272,2.688,1.31109583333333,1.3165
2273,NA,NA,NA
2274,NA,NA,NA
2275,NA,NA,NA
2276,NA,NA,NA
2277,NA,NA,NA
2278,NA,NA,NA
2279,3.061,1.61356527777778,1.636
2280,3.015,1.71856451612903,1.728
2281,2.884,1.59656720430108,1.6325
2282,3.296,1.75666369047619,1.751
2283,3.167,1.67530376344086,1.703
2284,2.872,1.4629125,1.4635
2285,2.68,1.41524596774194,1.43
2286,2.688,1.34088194444444,1.368
2287,2.644,1.38187231182796,1.411
2288,2.657,1.43927822580645,1.4445
2289,2.635,1.43680416666667,1.4595
2290,2.984,1.60056048387097,1.5945
2291,2.985,1.53414583333333,1.5685
2292,3.195,1.6552002688172,1.6595
2293,3.192,1.63325134408602,1.6465
2294,2.765,1.39984523809524,1.41
2295,2.691,1.3014314516129,1.315
2296,2.755,1.350275,1.392
2297,2.56,1.34112920592194,1.361
2298,NA,NA,NA
2299,NA,NA,NA
2300,2.956,1.43984946236559,1.4675
2301,2.822,1.54010277777778,1.548
2302,2.902,1.46012096774194,1.4695
2303,2.879,1.54492361111111,1.561
2304,3.13,1.67414112903226,1.681
2305,3.167,1.72978998609179,1.758
2306,2.887,1.59107327586207,1.606
2307,2.968,1.4910564516129,1.491
2308,2.658,1.25908888888889,1.2695
2309,2.636,1.37167338709677,1.3485
2310,2.65,1.3799625,1.396
2311,2.841,1.44840994623656,1.4635
2312,3.011,1.46304435483871,1.4905
2313,2.763,1.40460086455331,1.409
2314,2.703,1.42175940860215,1.4455
2315,2.931,1.48423055555556,1.505
2316,3.282,1.73027150537634,1.7325
2317,3.466,1.85903897849462,1.874
2318,3.228,1.60981994047619,1.67
2319,3.165,1.46126044568245,1.474
2320,2.663,1.29934861111111,1.296
2321,2.548,1.25513037634409,1.2805
2322,NA,NA,NA
2323,2.638,1.32778225806452,1.3335
2324,2.737,1.34731048387097,1.362
2325,2.861,1.36196111111111,1.3755
2326,2.85,1.4128561827957,1.4255
2327,2.946,1.42561388888889,1.434
2328,2.868,1.51101344086021,1.5285
2329,2.756,1.46197177419355,1.5045
2330,NA,NA,NA
2331,2.843,1.45925134408602,1.46
2332,2.79,1.31700833333333,1.344
2333,2.721,1.31064784946237,1.313
2334,2.849,1.45461527777778,1.449
2335,2.66,1.36008602150538,1.3835
2336,NA,NA,NA
2337,NA,NA,NA
2338,3.205,1.56810483870968,1.581
2339,3.194,1.58886944444444,1.6245
2340,3.056,1.71662096774194,1.757
2341,2.897,1.57974462365591,1.6075
2342,3.094,1.66638541666667,1.6995
2343,3.006,1.45198655913978,1.415
2344,2.745,1.35520277777778,1.3725
2345,2.711,1.28944086021505,1.312
2346,2.691,1.33818472222222,1.346
2347,2.855,1.45798655913978,1.4755
2348,2.78,1.47409139784946,1.494
2349,3.055,1.41141666666667,1.41
2350,3.037,1.57938440860215,1.6
2351,2.909,1.49595277777778,1.495
2352,2.974,1.51155779569892,1.5085
2353,3.029,1.51918682795699,1.555
2354,2.852,1.39236206896552,1.4065
2355,2.78,1.32521774193548,1.326
2356,2.663,1.31333611111111,1.3215
2357,2.547,1.28088575268817,1.293
2358,2.8,1.38683333333333,1.403
2359,2.827,1.37587768817204,1.375
2360,2.893,1.32896370967742,1.341
2361,2.819,1.36962777777778,1.3855
2362,3.036,1.57372983870968,1.5715
